Th,p1,m_dot,W_net,Q_out_unitmass,thermal_eff
673,80,123.48942782411507,647.8287365129208,-461.06269011962513,0.2908769325592138
683,80,120.33343975139833,664.8193566582589,-461.0889114500683,0.2948327672386698
693,80,117.46618823638832,681.0470417155993,-461.04972971708685,0.29842961891226727
703,80,114.843414746912,696.6006729798245,-460.9472030650072,0.3017108016293418
713,80,112.42894854195389,711.5605103266378,-460.78764969657277,0.30471486836617323
723,80,110.19410283032532,725.991663303275,-460.57507414776546,0.30747299116481597
733,80,108.11555507707722,739.9490290085158,-460.31289041415494,0.3100113343166107
743,80,106.17400834699633,753.4800771441649,-460.0039878108969,0.31235239433403417
753,80,104.35411779572398,766.6204428712834,-459.6497081171865,0.3145133161823551
763,80,102.64135967130142,779.4129019353594,-459.25621513279157,0.31651381655207655
773,80,101.02531496092968,791.8807284188031,-458.8214537714907,0.3183652976035011
783,80,99.49604525178508,804.052058527067,-458.348535917617,0.32008091862818566
793,80,98.04523696219341,815.9498867940753,-457.8390300489309,0.3216715337514359
803,80,96.66569555213296,827.5945209213857,-457.2943483517165,0.3231467340822708
813,80,95.35115634434118,839.0039834556005,-456.7157697465768,0.3245150398934151
823,80,94.09613319910312,850.1943414690979,-456.1044593088941,0.3257840575202836
833,80,92.8957975869003,861.1799680729712,-455.4614825585513,0.3269606042660873
843,80,91.74587331851393,871.9738240679686,-454.78781946522713,0.3280508362034039
853,80,90.64256419604094,882.5875647888414,-454.08437565637905,0.3290603056992621
863,80,89.58248053413293,893.0317571360196,-453.3519912445213,0.32999405809916615
873,80,88.56258469253672,903.3160027763022,-452.5914492633333,0.3308566902080452
