Th,P1,P2,P3,P4,P5
673,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
683,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
693,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
703,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
713,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
723,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
733,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
743,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
753,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
763,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
773,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
783,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
793,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
803,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
813,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
823,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
833,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
843,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
853,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
863,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
873,40,[30.01061738],[20.02123475],[10.03185213],[0.04246951]
