Th,p1,m_dot,W_net,Q_out_unitmass,thermal_eff
673,100,159.55885145859594,501.38240071726307,-477.60059492652385,0.23527623839269643
683,100,153.44256412273592,521.3677212537289,-478.3083589500163,0.2412044192803101
693,100,148.08329809315742,540.2364819675543,-478.9079290694608,0.24655609451434704
703,100,143.33288690449623,558.1412732815784,-479.40812453936996,0.25141398112466185
713,100,139.07945378489072,575.2107721370057,-479.82008105530076,0.255846641725641
723,100,135.23832330032658,591.5482982019994,-480.15181517783685,0.2599087224859932
733,100,131.74379630376617,607.2392191852531,-480.4099995042807,0.2636450018618742
743,100,128.544037324116,622.3548105796992,-480.60025115473263,0.2670926027812109
753,100,125.59754168785209,636.9551419949303,-480.72734949329333,0.27028262539325154
763,100,122.87107156589302,651.0889746501298,-480.793859649134,0.27324040901286145
773,100,120.33568777704981,664.806936976326,-480.8079552882182,0.2759912854987064
783,100,117.96976478347716,678.1398619115056,-480.76812656885477,0.27855165507897434
793,100,115.75366792765438,691.1228078750793,-480.6786450896525,0.28093919309519483
803,100,113.67117678683776,703.7843916230431,-480.5419327393224,0.2831684695656433
813,100,111.70847978524489,716.1497511540468,-480.360149406697,0.2852522669121989
823,100,109.85373085753413,728.2410836255484,-480.1352329741653,0.2872018636825179
833,100,108.09670220086377,740.0780816730664,-479.8689344317172,0.2890272634337169
843,100,106.42850799841925,751.6783003402454,-479.5628365242319,0.2907373849312832
853,100,104.84138405490586,763.0574579032997,-479.218385209128,0.292340217441372
863,100,103.32851171004222,774.2296746177271,-478.83690483129203,0.2938429448601814
873,100,101.88387256343235,785.2076878035082,-478.4196136417563,0.2952520550576624
