Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
673,[3214.15265768],[3143.045723],[3231.36121357],[3131.0092304],[3248.01391732],[3079.65915216],[3264.13917217],[2204.29644549],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
683,[3237.74020386],[3165.3270935],[3254.12135506],[3152.02055971],[3270.0157554],[3098.86233861],[3285.44602275],[2216.2421113],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
693,[3261.18439284],[3187.4763809],[3276.80447969],[3172.96536504],[3291.9967841],[3118.05817101],[3306.77937454],[2228.00288032],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
703,[3284.5074091],[3209.51088404],[3299.42498876],[3193.85422761],[3313.96534725],[3137.24740492],[3328.14296753],[2239.59302009],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
713,[3307.72842512],[3231.46025321],[3321.99545829],[3214.70746722],[3335.9288156],[3156.43640765],[3349.54011647],[2251.02503647],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
723,[3330.86410697],[3253.32890975],[3344.52692693],[3235.52678755],[3357.89372953],[3175.63841344],[3370.97384633],[2262.30997222],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
733,[3353.92902091],[3275.13449799],[3367.02913053],[3256.32412231],[3379.86591693],[3194.85509105],[3392.44687581],[2273.45763042],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
743,[3376.93596249],[3296.88916852],[3389.51069455],[3277.10750354],[3401.85059116],[3214.08842026],[3413.9616691],[2284.476764],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
753,[3399.89622498],[3318.60364084],[3411.97929269],[3297.88407326],[3423.85243278],[3233.34450062],[3435.5204664],[2295.37522867],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
763,[3422.81981963],[3340.28741379],[3434.44177861],[3318.66020716],[3445.87565812],[3252.62714682],[3457.12530977],[2306.16010883],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
773,[3445.71565764],[3361.94893924],[3456.90429571],[3339.44161761],[3467.92407712],[3271.93963088],[3478.77806511],[2316.83782175],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
783,[3468.59170123],[3383.59576623],[3479.37236921],[3360.2334401],[3490.00114227],[3291.28509317],[3500.48044103],[2327.41420433],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
793,[3491.45508983],[3405.23466145],[3501.85098379],[3381.04030591],[3512.10999022],[3310.66632574],[3522.23400499],[2337.89458595],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
803,[3514.3122461],[3426.87171105],[3524.34464921],[3401.86640364],[3534.25347738],[3330.08587069],[3544.04019721],[2348.28384977],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
813,[3537.16896526],[3448.51240643],[3546.85745627],[3422.71553153],[3556.43421037],[3349.54577552],[3565.90034271],[2358.5864848],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
823,[3560.03049099],[3470.1617085],[3569.39312446],[3443.59114354],[3578.65457234],[3369.04873965],[3587.81566172],[2368.8066302],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
833,[3582.90157994],[3491.82412073],[3591.95504297],[3464.49638304],[3600.91676282],[3388.59668245],[3609.78727881],[2378.94811335],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
843,[3605.78655704],[3513.50373635],[3614.54630595],[3485.43412018],[3623.22274574],[3408.19076994],[3631.81623078],[2389.01448251],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
853,[3628.68936295],[3535.20428368],[3637.16974301],[3506.40697934],[3645.5743789],[3427.83296903],[3653.90347367],[2399.00903513],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
863,[3651.61359503],[3556.92916516],[3659.82794572],[3527.41736338],[3667.97335052],[3447.52478241],[3676.04988883],[2408.93484248],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
873,[3674.56254283],[3578.68149114],[3682.52329071],[3548.46747511],[3690.42121301],[3467.2675917],[3698.25628841],[2418.79477108],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827]
