Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
773,[3411.06708569],[3329.36446182],[3431.46012205],[3316.0725135],[3451.31344036],[3257.42744589],[3470.64431413],[2238.69895193],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
783,[3435.27729236],[3352.25820828],[3454.87206836],[3337.72143613],[3473.98398756],[3277.27456844],[3492.62650331],[2249.76402823],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
793,[3459.39209566],[3375.06609998],[3478.23935604],[3359.33470723],[3496.65369287],[3297.12922183],[3514.64547856],[2260.6977918],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
803,[3483.42548779],[3397.80138836],[3501.57120774],[3380.9208784],[3519.32799161],[3316.99621406],[3536.70372197],[2271.50860159],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
813,[3507.38991636],[3420.47585722],[3524.87589453],[3402.48761491],[3542.0118008],[3336.87989174],[3558.80351699],[2282.20398803],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
823,[3531.29649693],[3443.10004567],[3548.16085797],[3424.04180982],[3564.70958001],[3356.78419472],[3580.94690988],[2292.79075585],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
833,[3555.15519054],[3465.68334903],[3571.43281324],[3445.58968539],[3587.42538352],[3376.71270283],[3603.13582316],[2303.27508896],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
843,[3578.97495269],[3488.23423843],[3594.69783663],[3467.13685916],[3610.16290499],[3396.66867581],[3625.37200595],[2313.66261976],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
853,[3602.76385915],[3510.76034966],[3617.96144022],[3488.68842923],[3632.92551598],[3416.65508774],[3647.65706573],[2323.95849734],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
863,[3626.52921261],[3533.26858384],[3641.22863573],[3510.24903002],[3655.71629935],[3436.67465684],[3669.99248087],[2334.16744359],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
873,[3650.27763364],[3555.76519465],[3664.50398955],[3531.8228819],[3678.53807822],[3456.72987238],[3692.37961168],[2344.29380119],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
