Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
673,[3158.79403462],[3091.03368896],[3191.76805285],[3094.72613579],[3222.80087996],[3057.80550598],[3252.08067859],[2118.00899667],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
683,[3185.35489597],[3116.11158867],[3216.49966393],[3117.54350982],[3245.96700908],[3078.00929762],[3273.90360786],[2131.1785303],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
693,[3211.49542135],[3140.79496791],[3240.98821216],[3140.14051112],[3269.02419908],[3098.12818144],[3295.7183069],[2144.0356372],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
703,[3237.27576743],[3165.141071],[3265.26863191],[3162.54973946],[3291.99051884],[3118.17158775],[3317.53184392],[2156.61289419],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
713,[3262.74634836],[3189.19783188],[3289.3707367],[3184.79899678],[3314.88166386],[3138.1564631],[3339.35048304],[2168.93780172],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
723,[3287.94977476],[3213.00574985],[3313.32014328],[3206.91215482],[3337.71134281],[3158.09502943],[3361.17979978],[2181.03378836],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
733,[3312.9223413],[3236.59930725],[3337.13900112],[3228.90625188],[3360.49159043],[3177.99800333],[3383.02477683],[2192.92098117],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
743,[3337.69518232],[3260.00806386],[3360.84657358],[3250.80997686],[3383.23302248],[3197.87207596],[3404.88988376],[2204.61680396],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
753,[3362.29517964],[3283.25754463],[3384.45970476],[3272.62823315],[3405.94504484],[3217.73221713],[3426.7791439],[2216.13644714],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
763,[3386.74568278],[3306.36989748],[3407.99319758],[3294.37836546],[3428.63602602],[3237.58252045],[3448.69619047],[2227.49324053],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
