Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
673,[3097.01748387],[3032.95114086],[3148.95825526],[3055.50156176],[3196.29887064],[3034.9428775],[3239.72865243],[2054.10252869],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
683,[3127.49846324],[3061.72560102],[3176.0990862],[3080.53272736],[3220.7926441],[3056.29358574],[3262.10259465],[2068.86897212],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
693,[3157.11045792],[3089.67944846],[3202.75901111],[3105.12275517],[3245.06481473],[3077.4599781],[3284.42871797],[2083.12351263],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
703,[3185.98924052],[3116.94242369],[3229.00745663],[3129.33643163],[3269.14747652],[3098.46425544],[3306.71820833],[2096.9335507],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
713,[3214.24426417],[3143.61846416],[3254.90228566],[3153.22771509],[3293.06808767],[3119.33367332],[3328.98088801],[2110.35356497],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
723,[3241.96513635],[3169.79276793],[3280.4921647],[3176.84197069],[3316.85029547],[3140.08930166],[3351.22542346],[2123.42837078],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
733,[3269.22605886],[3195.53586654],[3305.81836373],[3200.21763116],[3340.51458987],[3160.74937433],[3373.45949574],[2136.19527316],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
743,[3296.08909923],[3220.90670497],[3330.91614343],[3223.38751403],[3364.07882589],[3181.32976087],[3395.6899413],[2148.68565424],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
753,[3322.60664473],[3245.95503093],[3355.8158373],[3246.37983367],[3387.55864466],[3201.84434609],[3417.92286861],[2160.92616462],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
763,[3348.82327217],[3270.72315288],[3380.54370492],[3269.21899351],[3410.96781512],[3222.30244029],[3440.16375561],[2172.93963136],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023]
