Th,P1,P2,P3,P4,P5
673,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
683,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
693,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
703,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
713,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
723,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
733,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
743,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
753,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
763,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
773,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
783,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
793,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
803,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
813,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
823,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
833,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
843,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
853,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
863,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
873,80,[60.01061738],[40.02123475],[20.03185213],[0.04246951]
