Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,y',y'',y'''
673,20,62.40803908193967,122.7950365292315,1281.8861348128992,2606.2373942409877,-302.11737555889886,-18854.552981212804,0.49185317409898566,-121.35918484384156,[3248.04874518],[3174.92865221],[3256.16652226],[3153.84562077],[3264.15603986],[3093.99005015],[3272.02039809],[2299.69934381],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.06187259],[0.04321859],[0.18781262]
683,20,61.90380353806973,122.7950365292315,1292.327699230976,2628.2376897123986,-300.53993163916266,-18604.564883535633,0.4917088375566184,-113.93514056852096,[3270.04904066],[3195.72390535],[3277.8121741],[3173.84144462],[3285.46218361],[3112.60302142],[3293.00156856],[2310.98515861],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.06132531],[0.04292114],[0.18657413]
693,20,61.416198020338946,122.7950365292315,1302.587958530203,2650.217285407646,-298.949755269221,-18360.357367746343,0.49150232537625455,-107.82017622165498,[3292.02863635],[3216.50064483],[3299.46179101],[3193.84614216],[3306.79487449],[3131.24751376],[3314.02990634],[2322.14476781],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.0607881],[0.04262741],[0.18534895]
703,20,60.94408649241162,122.7950365292315,1312.6786305995595,2672.1845139168627,-297.34657224507237,-18121.515217125812,0.49123802033993813,-102.69720848426557,[3313.99586486],[3237.26925419],[3321.12123626],[3213.86317861],[3328.15784823],[3149.92621822],[3335.1072971],[2333.18535779],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.06026043],[0.04233729],[0.18413678]
713,20,60.48645553666069,122.7950365292315,1322.6101494988775,2694.1467362405037,-295.7305236172124,-17887.691167605903,0.4909198640548023,-98.3472346223012,[3335.95808718],[3258.03673889],[3342.79572459],[3233.89898525],[3349.55441597],[3168.64203611],[3356.23545463],[2344.11343639],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05974186],[0.04205063],[0.18293727]
723,20,60.04245956632547,122.7950365292315,1332.390454651988,2716.1104842694185,-294.10040586359673,-17658.511727504916,0.4905509044527603,-94.609651926846,[3357.92183521],[3278.80931327],[3364.48991318],[3253.95778682],[3370.98759934],[3187.39576426],[3377.4159419],[2354.93492464],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05923202],[0.04176733],[0.18175026]
733,20,59.61120625950616,122.7950365292315,1342.0295447761125,2738.0815784880588,-292.45746621370563,-17433.74234059776,0.49013497454563343,-91.3660148708737,[3379.89292943],[3299.59251308],[3386.20797739],[3274.0435543],[3392.46011409],[3206.19134952],[3398.65018884],[2365.6552328],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05873056],[0.04148727],[0.18057532]
743,20,59.191944194979726,122.7950365292315,1351.5352652799852,2760.0652257344664,-290.80187198051635,-17213.128178066363,0.4896751180654926,-88.52645998760507,[3401.87657668],[3320.39128913],[3407.95367408],[3294.15979677],[3413.97442184],[3225.03100737],[3419.93950734],[2376.27932406],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05823715],[0.04121036],[0.17941218]
753,20,58.78399105839889,122.7950365292315,1360.9147415752036,2782.0661008148936,-289.1337862242085,-16996.437904084887,0.48917412177107467,-86.0217315391661,[3423.87745176],[3341.21008526],[3429.73039479],[3314.30968148],[3435.53276047],[3243.91675228],[3441.28510394],[2386.81176805],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.0577515],[0.04093652],[0.17826058]
763,20,58.386725620241364,122.7950365292315,1370.1744557544737,2804.088414975882,-287.4533231557821,-16783.45830772322,0.48863454106394805,-83.79733349622032,[3445.89976592],[3362.05290384],[3451.54121065],[3334.49580173],[3457.13716994],[3262.8503607],[3462.68809072],[2397.25678615],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024],[335.00636612],[525.08141346],[0.05727333],[0.04066567],[0.17712028]
