y',y'',y''
[0.06187259],[0.04321859],[0.18781262]
[0.06132531],[0.04292114],[0.18657413]
[0.0607881],[0.04262741],[0.18534895]
[0.06026043],[0.04233729],[0.18413678]
[0.05974186],[0.04205063],[0.18293727]
[0.05923202],[0.04176733],[0.18175026]
[0.05873056],[0.04148727],[0.18057532]
[0.05823715],[0.04121036],[0.17941218]
[0.0577515],[0.04093652],[0.17826058]
[0.05727333],[0.04066567],[0.17712028]
[0.0568024],[0.04039772],[0.17599105]
[0.05633847],[0.0401326],[0.17487268]
[0.05588132],[0.03987025],[0.17376495]
[0.05543075],[0.03961062],[0.17266767]
[0.05498657],[0.03935364],[0.17158067]
[0.0545486],[0.03909925],[0.17050376]
[0.05411666],[0.03884741],[0.16943678]
[0.05369061],[0.03859806],[0.16837957]
[0.05327029],[0.03835116],[0.16733198]
[0.05285556],[0.03810667],[0.16629385]
[0.05244628],[0.03786454],[0.16526506]
