Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,y',y'',y'''
673,40,79.51904206158913,101.90848000887446,1006.0483366743573,2449.6090667571834,-386.4495759829538,-30730.100087271785,0.41069750693165663,-290.02992576453727,[3214.15265768],[3143.045723],[3231.36121357],[3131.0092304],[3248.01391732],[3079.65915216],[3264.13917217],[2204.29644549],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.08235725],[0.05245332],[0.23759504]
683,40,78.55699444933153,101.90848000887446,1018.3688996859369,2473.196612945573,-385.3831302798508,-30274.540426260246,0.4117622086151336,-205.60860472723567,[3237.74020386],[3165.3270935],[3254.12135506],[3152.02055971],[3270.0157554],[3098.86233861],[3285.44602275],[2216.2421113],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.08150647],[0.05207862],[0.23597542]
693,40,77.64179789437308,101.90848000887446,1030.3728425871218,2496.6408019163578,-384.2949421918247,-29837.350233487443,0.41270367839708216,-162.45455898367075,[3261.18439284],[3187.4763809],[3276.80447969],[3172.96536504],[3291.9967841],[3118.05817101],[3306.77937454],[2228.00288032],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.08067797],[0.05170962],[0.23437539]
703,40,76.76929776312052,101.90848000887446,1042.0832589461497,2519.963818185584,-383.18148720393947,-29416.573688474586,0.41353104017837333,-136.2478464149059,[3284.5074091],[3209.51088404],[3299.42498876],[3193.85422761],[3313.96534725],[3137.24740492],[3328.14296753],[2239.59302009],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.07987031],[0.05134608],[0.23279483]
713,40,75.93572689841679,101.90848000887446,1053.5225415965294,2543.1848341974382,-382.0435961764065,-29010.75818254063,0.41425323375247053,-118.69134599765104,[3307.72842512],[3231.46025321],[3321.99545829],[3214.70746722],[3335.9288156],[3156.43640765],[3349.54011647],[2251.02503647],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.0790817],[0.05098758],[0.23123324]
723,40,75.13711055855585,101.90848000887446,1064.7202082339113,2566.3205160522157,-380.8864623266809,-28618.70823009704,0.4148820077516179,-106.09144896760955,[3330.86410697],[3253.32890975],[3344.52692693],[3235.52678755],[3357.89372953],[3175.63841344],[3370.97384633],[2262.30997222],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.07831131],[0.05063403],[0.22968914]
733,40,74.37077868429353,101.90848000887446,1075.6913053123017,2589.38542999423,-379.70851162503595,-28239.217682608043,0.41542340234559005,-96.62196433423632,[3353.92902091],[3275.13449799],[3367.02913053],[3256.32412231],[3379.86591693],[3194.85509105],[3392.44687581],[2273.45763042],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.07755796],[0.05028516],[0.22816237]
743,40,73.63431191957028,101.90848000887446,1086.4500246486023,2612.392371574817,-378.5085648232871,-27871.217726426807,0.4158831714830274,-89.25024215053979,[3376.93596249],[3296.88916852],[3389.51069455],[3277.10750354],[3401.85059116],[3214.08842026],[3413.9616691],[2284.476764],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.07682066],[0.04994079],[0.22665267]
753,40,72.9253217435032,101.90848000887446,1097.0126437203833,2635.352634057277,-377.28838088617067,-27513.87656620938,0.41626787608740967,-83.35347759249203,[3399.89622498],[3318.60364084],[3411.97929269],[3297.88407326],[3423.85243278],[3233.34450062],[3435.5204664],[2295.37522867],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.07609858],[0.04960073],[0.22515937]
763,40,72.24179210372998,101.90848000887446,1107.3922402856538,2658.2762287092773,-376.04847066561206,-27166.415438750748,0.41658283226019244,-78.53314528861037,[3422.81981963],[3340.28741379],[3434.44177861],[3318.66020716],[3445.87565812],[3252.62714682],[3457.12530977],[2306.16010883],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.07539094],[0.04926484],[0.22368203]
