y',y'',y''
[0.08235725],[0.05245332],[0.23759504]
[0.08150647],[0.05207862],[0.23597542]
[0.08067797],[0.05170962],[0.23437539]
[0.07987031],[0.05134608],[0.23279483]
[0.0790817],[0.05098758],[0.23123324]
[0.07831131],[0.05063403],[0.22968914]
[0.07755796],[0.05028516],[0.22816237]
[0.07682066],[0.04994079],[0.22665267]
[0.07609858],[0.04960073],[0.22515937]
[0.07539094],[0.04926484],[0.22368203]
[0.07469704],[0.04893297],[0.22222026]
[0.07401626],[0.04860498],[0.22077366]
[0.07334802],[0.04828075],[0.21934188]
[0.07269179],[0.04796019],[0.21792458]
[0.07204709],[0.04764317],[0.21652148]
[0.07141348],[0.04732962],[0.21513223]
[0.07079054],[0.04701943],[0.21375656]
[0.07017789],[0.04671252],[0.21239425]
[0.06957518],[0.04640883],[0.21104502]
[0.06898207],[0.04610827],[0.20970865]
[0.06839827],[0.04581078],[0.2083849]
