Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,y',y'',y'''
673,80,123.48942782411507,81.94921990284097,647.8287365129208,2227.157481389633,-461.06269011962513,-56936.36779391978,0.2908769325592138,40.26512669616087,[3138.98121398],[3072.41209383],[3177.87784426],[3082.00156495],[3214.11546296],[3050.30852949],[3247.9965025],[2095.20764723],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.12016552],[0.06429094],[0.29730261]
683,80,120.33343975139833,81.94921990284097,664.8193566582589,2254.903221527211,-461.0889114500683,-55484.414746014634,0.2948327672386698,51.09019582653453,[3166.72695412],[3098.60628568],[3203.35875038],[3105.50680142],[3237.70484618],[3070.8774319],[3269.99911199],[2108.86152371],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.11849538],[0.06383209],[0.29524285]
693,80,117.46618823638832,81.94921990284097,681.0470417155993,2282.102708832713,-461.04972971708685,-54157.75433728328,0.29842961891226727,66.93475295200432,[3193.92644142],[3124.28652855],[3228.52655721],[3128.72669406],[3261.15071935],[3091.33098014],[3291.98085728],[2122.1463514],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.11690247],[0.0633806],[0.29320715]
703,80,114.843414746912,81.94921990284097,696.6006729798245,2308.835710282635,-460.9472030650072,-52936.75081802369,0.3017108016293418,92.30914666625864,[3220.65944287],[3149.52875157],[3253.42580343],[3151.7028046],[3284.47528562],[3111.68231511],[3313.95008783],[2135.10386031],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.11537793],[0.06293609],[0.29119606]
713,80,112.42894854195389,81.94921990284097,711.5605103266378,2335.168330124153,-460.78764969657277,-51805.87095650385,0.30471486836617323,139.4370754055401,[3246.99206271],[3174.39579514],[3278.0942099],[3174.47030847],[3307.69773311],[3131.95146601],[3335.91417927],[2147.76884074],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.11391443],[0.06249823],[0.28920871]
723,80,110.19410283032532,81.94921990284097,725.991663303275,2361.1558873934355,-460.57507414776546,-50752.65708172358,0.30747299116481597,257.0597704340944,[3272.97961998],[3198.9402462],[3302.56396284],[3197.05920128],[3330.83474123],[3152.15329897],[3357.87967621],[2160.17059857],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.11250588],[0.06206667],[0.28724458]
733,80,108.11555507707722,81.94921990284097,739.9490290085158,2386.8450830665925,-460.31289041415494,-49766.98365626018,0.3100113343166107,1069.1347594765373,[3298.66881565],[3223.20647429],[3326.86271492],[3219.49523336],[3353.90088756],[3172.30079072],[3379.85241025],[2172.33405138],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.11114712],[0.06164113],[0.28530312]
743,80,106.17400834699633,81.94921990284097,753.4800771441649,2412.275656636659,-460.0039878108969,-48840.46724148576,0.31235239433403417,-575.4664103960437,[3324.09938922],[3247.23222132],[3351.01437463],[3241.79725535],[3376.90897742],[3192.40532657],[3401.83759802],[2184.28056614],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.10983378],[0.06122141],[0.28338372]
753,80,104.35411779572398,81.94921990284097,766.6204428712834,2437.481669064836,-459.6497081171865,-47966.339785631026,0.3145133161823551,-240.29778313248661,[3349.30540165],[3271.04980876],[3375.03973456],[3263.99479984],[3399.87031248],[3212.47453187],[3423.83992294],[2196.02860794],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.1085621],[0.06080701],[0.28148623]
763,80,102.64135967130142,81.94921990284097,779.4129019353594,2462.4925079917366,-459.25621513279157,-47138.68235872544,0.31651381655207655,-156.9866173105531,[3374.31624058],[3294.68714001],[3398.95697573],[3286.09456993],[3422.79491132],[3232.52452885],[3445.86360391],[2207.5942483],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.10732882],[0.06039795],[0.27960913]
