Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
673,[3138.98121398],[3072.41209383],[3177.87784426],[3082.00156495],[3214.11546296],[3050.30852949],[3247.9965025],[2095.20764723],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
683,[3166.72695412],[3098.60628568],[3203.35875038],[3105.50680142],[3237.70484618],[3070.8774319],[3269.99911199],[2108.86152371],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
693,[3193.92644142],[3124.28652855],[3228.52655721],[3128.72669406],[3261.15071935],[3091.33098014],[3291.98085728],[2122.1463514],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
703,[3220.65944287],[3149.52875157],[3253.42580343],[3151.7028046],[3284.47528562],[3111.68231511],[3313.95008783],[2135.10386031],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
713,[3246.99206271],[3174.39579514],[3278.0942099],[3174.47030847],[3307.69773311],[3131.95146601],[3335.91417927],[2147.76884074],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
723,[3272.97961998],[3198.9402462],[3302.56396284],[3197.05920128],[3330.83474123],[3152.15329897],[3357.87967621],[2160.17059857],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
733,[3298.66881565],[3223.20647429],[3326.86271492],[3219.49523336],[3353.90088756],[3172.30079072],[3379.85241025],[2172.33405138],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
743,[3324.09938922],[3247.23222132],[3351.01437463],[3241.79725535],[3376.90897742],[3192.40532657],[3401.83759802],[2184.28056614],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
753,[3349.30540165],[3271.04980876],[3375.03973456],[3263.99479984],[3399.87031248],[3212.47453187],[3423.83992294],[2196.02860794],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
763,[3374.31624058],[3294.68714001],[3398.95697573],[3286.09456993],[3422.79491132],[3232.52452885],[3445.86360391],[2207.5942483],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
773,[3399.15741619],[3318.16839988],[3422.78207586],[3308.11480318],[3445.69169151],[3252.55598597],[3467.91245312],[2218.99156756],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
783,[3423.85119731],[3341.51469821],[3446.5291421],[3330.06859406],[3468.56862088],[3272.57836902],[3489.98992508],[2230.23297661],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
793,[3448.41712423],[3364.74455013],[3470.21068417],[3351.96754735],[3491.43284378],[3292.59799768],[3512.09915826],[2241.32947641],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
803,[3472.87242544],[3387.87427313],[3493.83784007],[3373.82198936],[3514.29078723],[3312.62055234],[3534.2430107],[2252.29086896],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
813,[3497.23235874],[3410.91831208],[3517.42056361],[3395.64114342],[3537.14825032],[3332.65115453],[3556.42409049],[2263.12593024],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
823,[3521.5104924],[3433.88952997],[3540.96778121],[3417.43327642],[3560.01048018],[3352.69443499],[3578.64478209],[2273.84255285],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
833,[3545.71893842],[3456.79936486],[3564.48752366],[3439.2058267],[3582.88223655],[3372.75459159],[3600.90728627],[2284.44786683],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
843,[3569.8685471],[3479.65806399],[3587.98703745],[3460.96549623],[3605.76784714],[3392.83543882],[3623.21356799],[2294.94832934],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989]
