y',y'',y''
[0.11048363],[0.06184817],[0.28510559]
[0.10905982],[0.06140114],[0.28312514]
[0.1076938],[0.0609617],[0.28116939]
[0.10637955],[0.06052938],[0.27923845]
[0.10511206],[0.06010378],[0.27733118]
[0.10388706],[0.05968454],[0.27544687]
[0.10270095],[0.05927141],[0.27358477]
[0.10155059],[0.05886383],[0.27174465]
[0.10043328],[0.05846182],[0.26992502]
[0.09934668],[0.05806504],[0.26812571]
[0.09828869],[0.05767328],[0.26634641]
[0.09725749],[0.05728633],[0.26458642]
[0.09625146],[0.05690404],[0.26284525]
[0.09526913],[0.05652622],[0.26112243]
[0.09430919],[0.05615275],[0.25941754]
[0.09337047],[0.05578347],[0.25773016]
[0.09245191],[0.05541826],[0.2560599]
[0.09155252],[0.05505701],[0.25440642]
[0.09067142],[0.05469961],[0.25276936]
[0.0898078],[0.05434597],[0.25114839]
[0.0889609],[0.05399598],[0.24954321]
