Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
673,[3264.18977354],[3190.24380481],[3268.12878525],[3165.12066119],[3272.03700205],[3101.71425159],[3275.91480283],[2389.29784596],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
683,[3285.49450382],[3210.38734928],[3289.26962289],[3184.65985288],[3293.01749607],[3120.06415989],[3296.73843049],[2400.29257721],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
693,[3306.82587306],[3230.55932283],[3310.44762195],[3204.23804537],[3314.04519928],[3138.46326718],[3317.61885449],[2411.18443798],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
703,[3328.18760845],[3250.76399147],[3331.66554446],[3223.85783345],[3335.12199372],[3156.91093622],[3338.55714646],[2421.97824389],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
713,[3349.58301392],[3271.00374554],[3352.92588144],[3243.52149413],[3356.24958999],[3175.41031134],[3359.55429444],[2432.67810649],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
723,[3371.0151044],[3291.28173659],[3374.23088766],[3263.23128135],[3377.42954821],[3193.96281668],[3380.61121216],[2443.28820664],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
733,[3392.48658982],[3311.60055005],[3395.58261088],[3282.98904616],[3398.66329574],[3212.56975635],[3401.72874703],[2453.81231563],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
743,[3413.99992658],[3331.96252957],[3416.98291658],[3302.79654246],[3419.95214217],[3231.23232818],[3422.90768674],[2464.25395756],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
753,[3435.55734793],[3352.36980598],[3438.43350888],[3322.65537296],[3441.29729198],[3249.95163525],[3444.14876487],[2474.61643365],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
763,[3457.16088967],[3372.82432193],[3459.93594828],[3342.56700594],[3462.69985536],[3268.72868822],[3465.4526656],[2484.90284312],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
773,[3478.81241209],[3393.32785286],[3481.4916669],[3362.53278949],[3484.16085743],[3287.56444473],[3486.82002771],[2495.11610143],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
783,[3500.51361874],[3413.8820248],[3503.10198146],[3382.55396368],[3505.68124613],[3306.45976836],[3508.25144794],[2505.25895627],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
793,[3522.26607247],[3434.48833029],[3524.76810446],[3402.63167103],[3527.26189895],[3325.41546804],[3529.74748388],[2515.33400147],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
803,[3544.07120936],[3455.1481401],[3546.49115378],[3422.7669655],[3548.90362882],[3344.4322946],[3551.30865638],[2525.34368944],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
813,[3565.93035064],[3475.86271595],[3568.27216107],[3442.96082075],[3570.6071891],[3363.51094528],[3572.93545169],[2535.29034203],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
823,[3587.84471312],[3496.63322013],[3590.11207893],[3463.21413537],[3592.373278],[3382.65206762],[3594.62832316],[2545.17616035],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
833,[3609.81541819],[3517.46072398],[3612.01178726],[3483.52774037],[3614.20254234],[3401.85626283],[3616.38769284],[2555.00323342],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
843,[3631.8434998],[3538.34621539],[3633.97209876],[3503.90240368],[3636.0955809],[3421.1240887],[3638.2139528],[2564.77354602],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
853,[3653.92991133],[3559.29060533],[3655.99376376],[3524.33883463],[3658.05294732],[3440.45606241],[3660.10746625],[2574.4889857],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
863,[3676.07553172],[3580.29473372],[3678.07747452],[3544.83768794],[3680.07515272],[3459.85266222],[3682.0685686],[2584.15134918],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374]
