Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
673,[3196.33735193],[3126.30800968],[3218.49474767],[3119.21215692],[3239.74635138],[3072.46700043],[3260.15161338],[2171.30797683],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
683,[3220.82911911],[3149.43899898],[3241.86928872],[3140.78561382],[3262.11948781],[3091.98857887],[3281.62674146],[2183.62730607],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
693,[3245.09946288],[3172.36398545],[3265.11802964],[3162.24738186],[3284.44486503],[3111.47896197],[3303.11730608],[2195.72525439],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
703,[3269.1804537],[3195.11347929],[3288.26103554],[3183.61618788],[3306.73366256],[3130.94157066],[3324.62806781],[2207.62096266],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
713,[3293.09953021],[3217.71357016],[3311.31569126],[3204.90491309],[3328.99569716],[3150.38809028],[3346.16327696],[2219.33099458],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
723,[3316.88032333],[3240.18671577],[3334.2971447],[3226.13767332],[3351.23963049],[3169.82288058],[3367.72674347],[2230.86978847],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
733,[3340.54330919],[3262.55236975],[3357.21866438],[3247.31682942],[3373.47313949],[3189.26079118],[3389.32189519],[2242.25001514],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
743,[3364.10633109],[3284.82747359],[3380.09192987],[3268.45658542],[3395.70305695],[3208.70397057],[3410.95184083],[2253.48286576],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
753,[3387.58502008],[3307.02686248],[3402.92726935],[3289.56654924],[3417.93548819],[3228.15522794],[3432.61935249],[2264.57827486],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
763,[3410.99313649],[3329.16359047],[3425.73385504],[3310.65524869],[3440.17590833],[3247.62147514],[3454.32699279],[2275.54511972],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
773,[3434.34284911],[3351.2491969],[3448.51986507],[3331.73028327],[3462.42924396],[3267.10684417],[3476.07707979],[2286.39136538],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
783,[3457.64496495],[3373.29392564],[3471.29261817],[3352.79845052],[3484.69994182],[3286.61541928],[3497.87172939],[2297.12419332],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
793,[3480.90911948],[3395.30690655],[3494.05868644],[3373.86585166],[3506.99202703],[3306.15077372],[3519.71287695],[2307.75010639],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
803,[3504.14393509],[3417.29630652],[3516.82399024],[3394.93798048],[3529.30915257],[3325.71614896],[3541.60229596],[2318.2750165],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642]
