Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
673,[3177.89776773],[3108.98423394],[3205.30181125],[3107.12394368],[3231.34322356],[3065.18818545],[3256.13224713],[2143.06376901],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
683,[3203.37757714],[3133.04449498],[3229.33246895],[3129.29846971],[3254.10420669],[3085.04307419],[3277.77937582],[2155.78985932],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
693,[3228.54439243],[3156.81199337],[3253.1822176],[3151.31024751],[3276.78810807],[3104.84105353],[3299.43036909],[2168.25236635],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
703,[3253.44273747],[3180.32909094],[3276.87790654],[3173.18433329],[3299.40933629],[3124.5883289],[3321.09110004],[2180.47644862],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
713,[3278.11032102],[3203.63164141],[3300.44262274],[3194.94225665],[3321.98047361],[3144.29907403],[3342.76679194],[2192.48360689],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
723,[3302.57931928],[3226.75022613],[3323.89634131],[3216.59905633],[3344.51256403],[3163.98313978],[3364.46210946],[2204.2923664],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
733,[3326.87737657],[3249.71110406],[3347.25644473],[3238.18164824],[3367.01534802],[3183.64619065],[3386.18123456],[2215.9188089],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
743,[3351.02839437],[3272.53697522],[3370.5381406],[3259.69345765],[3389.49745505],[3203.30313043],[3407.92792994],[2227.37699202],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
753,[3375.05315929],[3295.24756598],[3393.75480032],[3281.15049659],[3411.96656232],[3222.9569524],[3429.70559232],[2238.67928299],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
763,[3398.96984729],[3317.86011919],[3416.9182355],[3302.5637439],[3434.42952656],[3242.61203632],[3451.51729745],[2249.83662675],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
773,[3422.79443175],[3340.38978147],[3440.03892516],[3323.94293409],[3456.89249387],[3262.2749275],[3473.36583816],[2260.85876289],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
783,[3446.54101603],[3362.84992052],[3463.12620352],[3345.29673338],[3479.36099187],[3281.95077],[3495.25377043],[2271.75440459],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
793,[3470.22210662],[3385.2523855],[3486.18841614],[3366.63288606],[3501.84000735],[3301.64398322],[3517.18338446],[2282.53137679],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
803,[3493.84883866],[3407.6077221],[3509.23305058],[3387.95833672],[3524.33405197],[3321.35856307],[3539.15681728],[2293.19674818],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
813,[3517.43116347],[3429.92535578],[3532.26684613],[3409.27933297],[3546.84721821],[3341.09813227],[3561.17601105],[2303.7569235],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
823,[3540.97800527],[3452.21373384],[3555.29588655],[3430.60151262],[3569.38322709],[3360.86598316],[3583.24274717],[2314.2177297],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419]
