Th,p1,m_dot,W_net,Q_out_unitmass,thermal_eff
673,70,110.12175918596758,726.4685979534744,-448.66452006895133,0.3189549386362942
683,70,107.7952674671045,742.1476088865712,-448.39218456620256,0.3220828139973302
693,70,105.65206509530903,757.2024259803325,-448.0693747967607,0.3249301937033414
703,70,103.66729548488901,771.699499112149,-447.69608839018565,0.32752777898236896
713,70,101.81985185780836,785.7013985025255,-447.2771758435201,0.32990414970746057
723,70,100.09271829445673,799.2589407418512,-446.81537228214484,0.33208248141576124
733,70,98.47169505490977,812.4161969121219,-446.3129901145094,0.3340827866092417
743,70,96.94554029144977,825.2055717002971,-445.77063332002035,0.33591999238080855
753,70,95.50334540497785,837.6669912531694,-445.19379538619023,0.3376118618871181
763,70,94.13705457677297,849.824761988452,-444.5822012555309,0.33916956621801286
773,70,92.83957930554469,861.7014488692554,-443.9360033440298,0.3406034451022468
783,70,91.60447024102912,873.3198258720835,-443.25743586816316,0.34192377306243305
793,70,90.42625306161615,884.6988268494135,-442.54765339458936,0.34313916157844265
803,70,89.30013890457292,895.8552694468801,-441.8077050057959,0.34425727333213435
813,70,88.22191658615634,906.8041490786825,-441.0385492429382,0.3452849562211972
823,70,87.1878600048638,917.5589353327078,-440.2410668584603,0.34622837402630036
833,70,86.19466274525338,928.1317131715964,-439.41606987409614,0.34709307451483884
843,70,85.23937369320912,938.5334093130891,-438.56431153186577,0.3478840875687574
853,70,84.31934927969618,948.7739253612069,-437.68649313595915,0.3486059856151212
863,70,83.43221228306271,958.8622644762415,-436.78327015019795,0.349262940000403
873,70,82.57581721344019,968.8066397601337,-435.8552581586955,0.3498587690664893
