Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
673,[3248.04874518],[3174.92865221],[3256.16652226],[3153.84562077],[3264.15603986],[3093.99005015],[3272.02039809],[2299.69934381],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
683,[3270.04904066],[3195.72390535],[3277.8121741],[3173.84144462],[3285.46218361],[3112.60302142],[3293.00156856],[2310.98515861],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
693,[3292.02863635],[3216.50064483],[3299.46179101],[3193.84614216],[3306.79487449],[3131.24751376],[3314.02990634],[2322.14476781],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
703,[3313.99586486],[3237.26925419],[3321.12123626],[3213.86317861],[3328.15784823],[3149.92621822],[3335.1072971],[2333.18535779],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
713,[3335.95808718],[3258.03673889],[3342.79572459],[3233.89898525],[3349.55441597],[3168.64203611],[3356.23545463],[2344.11343639],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
723,[3357.92183521],[3278.80931327],[3364.48991318],[3253.95778682],[3370.98759934],[3187.39576426],[3377.4159419],[2354.93492464],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
733,[3379.89292943],[3299.59251308],[3386.20797739],[3274.0435543],[3392.46011409],[3206.19134952],[3398.65018884],[2365.6552328],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
743,[3401.87657668],[3320.39128913],[3407.95367408],[3294.15979677],[3413.97442184],[3225.03100737],[3419.93950734],[2376.27932406],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
753,[3423.87745176],[3341.21008526],[3429.73039479],[3314.30968148],[3435.53276047],[3243.91675228],[3441.28510394],[2386.81176805],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
763,[3445.89976592],[3362.05290384],[3451.54121065],[3334.49580173],[3457.13716994],[3262.8503607],[3462.68809072],[2397.25678615],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
773,[3467.94732457],[3382.92336085],[3473.38891038],[3354.72134671],[3478.78951429],[3281.8336408],[3484.14949447],[2407.61828997],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
783,[3490.02357614],[3403.82473255],[3495.27604615],[3374.98862658],[3500.49150043],[3300.86806145],[3505.67026466],[2417.89991435],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
793,[3512.13165367],[3424.75999541],[3517.20490502],[3395.29925829],[3522.2446943],[3319.95503526],[3527.2512802],[2428.10504569],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
803,[3534.27441031],[3445.73186006],[3539.17762091],[3415.65551483],[3544.05053473],[3339.0958612],[3548.89335528],[2438.23684642],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
813,[3556.45444977],[3466.74279811],[3561.19613325],[3436.05920745],[3565.91034548],[3358.29173532],[3570.59724444],[2448.29827631],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
823,[3578.67415251],[3487.79476487],[3583.26222097],[3456.51199702],[3587.82534563],[3377.54376016],[3592.36364692],[2458.29211097],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
833,[3600.93571561],[3508.89079458],[3605.37751782],[3477.01540878],[3609.7966587],[3396.85295276],[3614.19321054],[2468.22107918],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
843,[3623.24110096],[3530.03176578],[3627.54352572],[3497.57084537],[3631.82532055],[3416.2202518],[3636.08653497],[2478.08737632],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
853,[3645.59216431],[3551.21978214],[3649.76162643],[3518.17959726],[3653.91228631],[3435.64652368],[3658.04417468],[2487.89345601],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
863,[3667.99059203],[3572.4564442],[3672.0330918],[3538.84285222],[3676.05843654],[3455.13256841],[3680.06664155],[2497.64150157],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
873,[3690.4379349],[3593.74322347],[3694.35909277],[3559.56170375],[3698.26458264],[3474.67912306],[3702.1544071],[2507.33357672],[125.72676978],[126.35319764],[641.12979024],[641.81135094],[762.93247701],[764.33867541],[908.51464951],[844.72108112],[844.72108112],[641.12979024],[641.12979024]
