Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,y',y'',y'''
673,70,110.12175918596758,85.7502550355766,726.4685979534744,2277.6527651822,-448.66452006895133,-49407.72623432078,0.3189549386362942,66.95518636213924,[3158.79403462],[3091.03368896],[3191.76805285],[3094.72613579],[3222.80087996],[3057.80550598],[3252.08067859],[2118.00899667],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.11048363],[0.06184817],[0.28510559]
683,70,107.7952674671045,85.7502550355766,742.1476088865712,2304.21362653868,-448.39218456620256,-48334.55546547309,0.3220828139973302,90.62210609639475,[3185.35489597],[3116.11158867],[3216.49966393],[3117.54350982],[3245.96700908],[3078.00929762],[3273.90360786],[2131.1785303],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10905982],[0.06140114],[0.28312514]
693,70,105.65206509530903,85.7502550355766,757.2024259803325,2330.35415191871,-448.0693747967607,-47339.45475324178,0.3249301937033414,132.18510455254506,[3211.49542135],[3140.79496791],[3240.98821216],[3140.14051112],[3269.02419908],[3098.12818144],[3295.7183069],[2144.0356372],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.1076938],[0.0609617],[0.28116939]
703,70,103.66729548488901,85.7502550355766,771.699499112149,2356.134497995329,-447.69608839018565,-46411.442682574365,0.32752777898236896,224.14661493586087,[3237.27576743],[3165.141071],[3265.26863191],[3162.54973946],[3291.99051884],[3118.17158775],[3317.53184392],[2156.61289419],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10637955],[0.06052938],[0.27923845]
713,70,101.81985185780836,85.7502550355766,785.7013985025255,2381.605078927437,-447.2771758435201,-45541.69578376612,0.32990414970746057,598.4251447015414,[3262.74634836],[3189.19783188],[3289.3707367],[3184.79899678],[3314.88166386],[3138.1564631],[3339.35048304],[2168.93780172],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10511206],[0.06010378],[0.27733118]
723,70,100.09271829445673,85.7502550355766,799.2589407418512,2406.8085053279083,-446.81537228214484,-44722.965187469534,0.33208248141576124,-1178.3111123547897,[3287.94977476],[3213.00574985],[3313.32014328],[3206.91215482],[3337.71134281],[3158.09502943],[3361.17979978],[2181.03378836],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10388706],[0.05968454],[0.27544687]
733,70,98.47169505490977,85.7502550355766,812.4161969121219,2431.7810718645633,-446.3129901145094,-43949.19666160093,0.3340827866092417,-319.0389591857271,[3312.9223413],[3236.59930725],[3337.13900112],[3228.90625188],[3360.49159043],[3177.99800333],[3383.02477683],[2192.92098117],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10270095],[0.05927141],[0.27358477]
743,70,96.94554029144977,85.7502550355766,825.2055717002971,2456.5539128877463,-445.77063332002035,-43215.474893271115,0.33591999238080855,-191.8620942028044,[3337.69518232],[3260.00806386],[3360.84657358],[3250.80997686],[3383.23302248],[3197.87207596],[3404.88988376],[2204.61680396],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10155059],[0.05886383],[0.27174465]
753,70,95.50334540497785,85.7502550355766,837.6669912531694,2481.153910206054,-445.19379538619023,-42517.49681292036,0.3376118618871181,-140.64953991224908,[3362.29517964],[3283.25754463],[3384.45970476],[3272.62823315],[3405.94504484],[3217.73221713],[3426.7791439],[2216.13644714],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10043328],[0.05846182],[0.26992502]
763,70,94.13705457677297,85.7502550355766,849.824761988452,2505.6044133458545,-444.5822012555309,-41851.658943453775,0.33916956621801286,-113.02533217666668,[3386.74568278],[3306.36989748],[3407.99319758],[3294.37836546],[3428.63602602],[3237.58252045],[3448.69619047],[2227.49324053],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09934668],[0.05806504],[0.26812571]
773,70,92.83957930554469,85.7502550355766,861.7014488692554,2529.9258162540855,-443.9360033440298,-41214.831789044605,0.3406034451022468,-95.75741849203227,[3411.06708569],[3329.36446182],[3431.46012205],[3316.0725135],[3451.31344036],[3257.42744589],[3470.64431413],[2238.69895193],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09828869],[0.05767328],[0.26634641]
783,70,91.60447024102912,85.7502550355766,873.3198258720835,2554.1360229217553,-443.25743586816316,-40604.36259310003,0.34192377306243305,-83.95228605389266,[3435.27729236],[3352.25820828],[3454.87206836],[3337.72143613],[3473.98398756],[3277.27456844],[3492.62650331],[2249.76402823],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09725749],[0.05728633],[0.26458642]
793,70,90.42625306161615,85.7502550355766,884.6988268494135,2578.2508262239508,-442.54765339458936,-40017.92609768353,0.34313916157844265,-75.37987530079161,[3459.39209566],[3375.06609998],[3478.23935604],[3359.33470723],[3496.65369287],[3297.12922183],[3514.64547856],[2260.6977918],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09625146],[0.05690404],[0.26284525]
803,70,89.30013890457292,85.7502550355766,895.8552694468801,2602.2842183571593,-441.8077050057959,-39453.48942612815,0.34425727333213435,-68.878660847236,[3483.42548779],[3397.80138836],[3501.57120774],[3380.9208784],[3519.32799161],[3316.99621406],[3536.70372197],[2271.50860159],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09526913],[0.05652622],[0.26112243]
813,70,88.22191658615634,85.7502550355766,906.8041490786825,2626.2486469226988,-441.0385492429382,-38909.2661025899,0.3452849562211972,-63.78412307167312,[3507.38991636],[3420.47585722],[3524.87589453],[3402.48761491],[3542.0118008],[3336.87989174],[3558.80351699],[2282.20398803],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09430919],[0.05615275],[0.25941754]
823,70,87.1878600048638,85.7502550355766,917.5589353327078,2650.1552274944625,-440.2410668584603,-38383.676505647316,0.34622837402630036,-59.688614206597094,[3531.29649693],[3443.10004567],[3548.16085797],[3424.04180982],[3564.70958001],[3356.78419472],[3580.94690988],[2292.79075585],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09337047],[0.05578347],[0.25773016]
833,70,86.19466274525338,85.7502550355766,928.1317131715964,2674.0139211043725,-439.41606987409614,-37875.31994764241,0.34709307451483884,-56.32815533600998,[3555.15519054],[3465.68334903],[3571.43281324],[3445.58968539],[3587.42538352],[3376.71270283],[3603.13582316],[2303.27508896],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09245191],[0.05541826],[0.2560599]
843,70,85.23937369320912,85.7502550355766,938.5334093130891,2697.8336832597815,-438.56431153186577,-37382.94723916968,0.3478840875687574,-53.52427768363283,[3578.97495269],[3488.23423843],[3594.69783663],[3467.13685916],[3610.16290499],[3396.66867581],[3625.37200595],[2313.66261976],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09155252],[0.05505701],[0.25440642]
853,70,84.31934927969618,85.7502550355766,948.7739253612069,2721.6225897185304,-437.68649313595915,-36905.44028973629,0.3486059856151212,-51.15199338941148,[3602.76385915],[3510.76034966],[3617.96144022],[3488.68842923],[3632.92551598],[3416.65508774],[3647.65706573],[2323.95849734],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09067142],[0.05469961],[0.25276936]
863,70,83.43221228306271,85.7502550355766,958.8622644762415,2745.38794317867,-436.78327015019795,-36441.79451686164,0.349262940000403,-49.12115537804963,[3626.52921261],[3533.26858384],[3641.22863573],[3510.24903002],[3655.71629935],[3436.67465684],[3669.99248087],[2334.16744359],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.0898078],[0.05434597],[0.25114839]
873,70,82.57581721344019,85.7502550355766,968.8066397601337,2769.1363642110564,-435.8552581586955,-35991.10412922923,0.3498587690664893,-47.36510658019528,[3650.27763364],[3555.76519465],[3664.50398955],[3531.8228819],[3678.53807822],[3456.72987238],[3692.37961168],[2344.29380119],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.0889609],[0.05399598],[0.24954321]
