Th,p1,m_dot,W_net,Q_out_unitmass,thermal_eff
673,20,62.40803908193967,1281.8861348128992,-302.11737555889886,0.49185317409898566
683,20,61.90380353806973,1292.327699230976,-300.53993163916266,0.4917088375566184
693,20,61.416198020338946,1302.587958530203,-298.949755269221,0.49150232537625455
703,20,60.94408649241162,1312.6786305995595,-297.34657224507237,0.49123802033993813
713,20,60.48645553666069,1322.6101494988775,-295.7305236172124,0.4909198640548023
723,20,60.04245956632547,1332.390454651988,-294.10040586359673,0.4905509044527603
733,20,59.61120625950616,1342.0295447761125,-292.45746621370563,0.49013497454563343
743,20,59.191944194979726,1351.5352652799852,-290.80187198051635,0.4896751180654926
753,20,58.78399105839889,1360.9147415752036,-289.1337862242085,0.48917412177107467
763,20,58.386725620241364,1370.1744557544737,-287.4533231557821,0.48863454106394805
773,20,57.99957797479258,1379.3203811718959,-285.7607352167079,0.4880587466582383
783,20,57.62202874109812,1388.3579205350175,-284.0561248902741,0.48744890154425263
793,20,57.25359467533983,1397.2921779609667,-282.3396404937689,0.4868070565622339
803,20,56.89383486796101,1406.127749793342,-280.6114319470598,0.48613507620732094
813,20,56.54233983644703,1414.8689324036823,-278.87164563963915,0.4854347117061005
823,20,56.198729762270624,1423.5197190116655,-277.1204242203571,0.4847075996372324
833,20,55.862647550457936,1432.0839327878257,-275.35791594591046,0.4839553044440048
843,20,55.53377479681201,1440.5647786901839,-273.5842557685528,0.48317917894283013
853,20,55.2117995003695,1448.965632780446,-271.7995851061405,0.48238061390291626
863,20,54.89643529303797,1457.2895229527899,-270.0040420443256,0.48156087490330474
873,20,54.587414088501085,1465.5392884209202,-268.1977625267973,0.480721153628804
