Th,p1,m_dot,W_net,Q_out_unitmass,thermal_eff
673,90,139.5745425672647,573.1704258421328,-470.58169043290604,0.26310688486988776
683,90,135.22858100399546,591.590915219589,-470.9325469082405,0.2679892736905378
693,90,131.34433272454504,609.0860438400168,-471.19912924407754,0.2724156595814235
703,90,127.84193913049744,625.7727358025934,-471.386334547582,0.2764461558899115
713,90,124.65855930398979,641.7529646312826,-471.5025112374151,0.28013233073728305
723,90,121.74537900275259,657.1091293591624,-471.5533781196659,0.2835156338038419
733,90,119.06356136287835,671.91002086842,-471.54375262446547,0.2866304479378813
743,90,116.58177483745794,686.2136050985548,-471.47773595055696,0.28950559181322677
753,90,114.27488570466194,700.0663313438461,-471.3569430774278,0.292164276996699
763,90,112.12063686559367,713.5171743262681,-471.1890401654514,0.29463015513398555
773,90,110.10199423651062,726.5990098976011,-470.974328530785,0.2969196423012874
783,90,108.20442351345237,739.3413078907454,-470.7137132910307,0.2990473886327476
793,90,106.41505961081745,751.7732949882944,-470.41040147076046,0.30102760186313404
803,90,104.72311752975611,763.9191984259706,-470.0662573132249,0.3028721569500869
813,90,103.11930643154481,775.8004079779917,-469.6829557100068,0.30459153645598347
823,90,101.59557114031294,787.4359000306475,-469.2620105061451,0.30619504311709334
833,90,100.14488631695616,798.8425863982902,-468.80479708940857,0.30769097360935915
843,90,98.76109083163476,810.0356053821017,-468.31256952670765,0.3090867624733466
853,90,97.43875376518618,821.0285631606995,-467.78647964453876,0.3103891009553343
863,90,96.17306715921858,831.8337177242837,-467.2275887745627,0.31160402924622554
873,90,94.9597498530957,842.462202393765,-466.6368793836041,0.31273703964429983
