Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,y',y'',y'''
673,10,52.88191410468713,145.04281671117437,1512.8045448889925,2726.722427115555,-220.0262978226392,-11635.411782229115,0.5548069469209972,-125.3999363383899,[3264.18977354],[3190.24380481],[3268.12878525],[3165.12066119],[3272.03700205],[3101.71425159],[3275.91480283],[2389.29784596],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04879969],[0.03612472],[0.1466844]
683,10,52.549724258805334,145.04281671117437,1522.3676456607675,2748.027157391421,-218.15544281885104,-11464.008365688196,0.553985662611094,-121.73460731042606,[3285.49450382],[3210.38734928],[3289.26962289],[3184.65985288],[3293.01749607],[3120.06415989],[3296.73843049],[2400.29257721],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04840663],[0.03588363],[0.14574324]
693,10,52.226045115455584,145.04281671117437,1531.8027590093184,2769.3585266367095,-216.2758907973016,-11295.23443016522,0.5531254780758345,-118.49322071410405,[3306.82587306],[3230.55932283],[3310.44762195],[3204.23804537],[3314.04519928],[3138.46326718],[3317.61885449],[2411.18443798],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04801931],[0.03564517],[0.1448113]
703,10,51.91048543165273,145.04281671117437,1541.1144653103074,2790.7202620223097,-214.38590525416976,-11128.876411448262,0.5522282137277101,-115.60758899586753,[3328.18760845],[3250.76399147],[3331.66554446],[3223.85783345],[3335.12199372],[3156.91093622],[3338.55714646],[2421.97824389],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04763752],[0.03540929],[0.1438885]
713,10,51.60258245996822,145.04281671117437,1550.310007489677,2812.1156674953954,-212.48677989869248,-10964.866581375396,0.5512966715449714,-113.02352484635787,[3349.58301392],[3271.00374554],[3352.92588144],[3243.52149413],[3356.24958999],[3175.41031134],[3359.55429444],[2432.67810649],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04726112],[0.03517591],[0.14297458]
723,10,51.30194605056059,145.04281671117437,1559.3950358365757,2833.547757975434,-210.57859581186221,-10803.091761742959,0.550333069717082,-110.69753407941147,[3371.0151044],[3291.28173659],[3374.23088766],[3263.23128135],[3377.42954821],[3193.96281668],[3380.61121216],[2443.28820664],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04688992],[0.03494499],[0.14206937]
733,10,51.008220680342,145.04281671117437,1568.3746449683767,2855.0192433915427,-208.66143378847573,-10643.44846215914,0.5493394304079255,-108.59395796138247,[3392.48658982],[3311.60055005],[3395.58261088],[3282.98904616],[3398.66329574],[3212.56975635],[3401.72874703],[2453.81231563],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04652377],[0.03471645],[0.14117269]
743,10,50.72107849661327,145.04281671117437,1577.253527945817,2876.532580157433,-206.73537623770972,-10485.841246179752,0.548317630339335,-106.68352728702267,[3413.99992658],[3331.96252957],[3416.98291658],[3302.79654246],[3419.95214217],[3231.23232818],[3422.90768674],[2464.25395756],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04616254],[0.03449026],[0.14028439]
753,10,50.440216080309064,145.04281671117437,1586.0360287241222,2898.090001509167,-204.80050678883163,-10330.18181578547,0.5472694180988862,-104.94193318852311,[3435.55734793],[3352.36980598],[3438.43350888],[3322.65537296],[3441.29729198],[3249.95163525],[3444.14876487],[2474.61643365],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04580609],[0.03426635],[0.13940433]
763,10,50.16535212069736,145.04281671117437,1594.726172907563,2919.693543248149,-202.85690428391445,-10176.388033517169,0.5461964241402664,-103.34881663509462,[3457.16088967],[3372.82432193],[3459.93594828],[3342.56700594],[3462.69985536],[3268.72868822],[3465.4526656],[2484.90284312],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04545429],[0.03404469],[0.13853236]
