Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
673,[3231.37920294],[3159.23732404],[3243.91441416],[3142.53917168],[3256.14938499],[3086.80007832],[3268.09531581],[2244.92926869],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
683,[3254.13850288],[3180.74134582],[3266.09908933],[3163.02111097],[3277.79577522],[3105.7003277],[3289.23753635],[2256.53130591],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
693,[3276.82085083],[3202.17357975],[3288.24982449],[3183.48171774],[3299.44608028],[3124.61093753],[3310.41683058],[2267.97996543],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
703,[3299.44064081],[3223.55534088],[3310.37632828],[3203.9253726],[3321.10616835],[3143.53893152],[3331.63596835],[2279.28558044],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
713,[3322.0104426],[3244.89096539],[3332.48715099],[3224.35718216],[3342.78125845],[3162.48761332],[3352.89744759],[2290.45734645],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
723,[3344.5412895],[3266.19348179],[3354.58985774],[3244.78642288],[3364.47601148],[3181.46166428],[3374.2035292],[2301.50349293],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
733,[3367.04291275],[3287.47213741],[3376.69117118],[3265.21936343],[3386.19460612],[3200.46229096],[3395.55626642],[2312.43142346],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
743,[3389.52393378],[3308.73512179],[3398.7970895],[3285.66159444],[3407.94080214],[3219.4946488],[3416.95752962],[2323.24783104],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
753,[3411.99202282],[3329.98971827],[3420.91298481],[3306.1181209],[3429.71799367],[3238.56177419],[3438.40902729],[2333.95879346],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
763,[3434.45403045],[3351.24242971],[3443.04368527],[3326.59343942],[3451.52925415],[3257.66620921],[3459.9123239],[2344.56985272],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
773,[3456.91609735],[3372.49908329],[3465.19354423],[3347.09160314],[3473.37737436],[3276.81089054],[3481.46885513],[2355.08608175],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
783,[3479.38374638],[3393.76491837],[3487.36649866],[3367.6162765],[3495.26490837],[3295.99809242],[3503.07994092],[2365.51214046],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
793,[3501.86196007],[3415.04466046],[3509.56611862],[3388.17078166],[3517.19414481],[3315.22937442],[3524.74679668],[2375.85232345],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
803,[3524.35524631],[3436.34258546],[3531.79564954],[3408.758138],[3539.16721916],[3334.50690995],[3546.47054296],[2386.11060055],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
813,[3546.8676942],[3457.66256816],[3554.05804828],[3429.38109619],[3561.18607221],[3353.83243512],[3568.25221383],[2396.29065161],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
823,[3569.40302171],[3479.00813161],[3576.35601424],[3450.04216751],[3583.25248413],[3373.20754286],[3590.0927641],[2406.39589651],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
833,[3591.96461667],[3500.38248608],[3598.69201613],[3470.74364632],[3605.36808978],[3392.6336966],[3611.9930757],[2416.42952102],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
843,[3614.555572],[3521.7885616],[3621.06831513],[3491.48763511],[3627.53439211],[3412.11224226],[3633.95396318],[2426.39449938],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
853,[3637.17871618],[3543.22903705],[3643.48698512],[3512.2757903],[3649.75277381],[3431.64441858],[3655.97617858],[2436.29361397],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
863,[3659.83663978],[3564.7063653],[3665.94994643],[3533.11075087],[3672.02450761],[3451.23136665],[3678.06041573],[2446.1294726],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
873,[3682.53171849],[3586.22279523],[3688.45891392],[3553.99321102],[3694.35076521],[3470.87413683],[3700.20731402],[2455.90452367],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
