Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,y',y'',y'''
673,60,98.68876237076425,90.1566672019978,810.6292761018487,2330.7125683873646,-432.8067146693097,-42713.15901647067,0.34780319422344236,140.05936976949516,[3177.89776773],[3108.98423394],[3205.30181125],[3107.12394368],[3231.34322356],[3065.18818545],[3256.13224713],[2143.06376901],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.101066],[0.05909671],[0.27138126]
683,60,96.95783574394886,90.1566672019978,825.1009254297717,2356.1923778002524,-432.25638482477643,-41910.64355911382,0.3501840228343698,233.45505833296002,[3203.37757714],[3133.04449498],[3229.33246895],[3129.29846971],[3254.10420669],[3085.04307419],[3277.77937582],[2155.78985932],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09985665],[0.05866828],[0.26950035]
693,60,95.34398388563793,90.1566672019978,839.0670993563417,2381.359193083473,-431.6673948801604,-41156.889141409316,0.3523479791681011,581.6802441087001,[3228.54439243],[3156.81199337],[3253.1822176],[3151.31024751],[3276.78810807],[3104.84105353],[3299.43036909],[2168.25236635],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.0986901],[0.05824711],[0.26764334]
703,60,93.83324489833076,90.1566672019978,852.5762919813844,2406.2575381219826,-431.03826089979657,-40445.7186955612,0.3543163100682883,-1683.6315180570182,[3253.44273747],[3180.32909094],[3276.87790654],[3173.18433329],[3299.40933629],[3124.5883289],[3321.09110004],[2180.47644862],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09756236],[0.05783274],[0.26581014]
713,60,92.41325796420146,90.1566672019978,865.6766546526253,2430.92512167617,-430.3727858379866,-39772.151278417885,0.356109962801209,-371.8463516248322,[3278.11032102],[3203.63164141],[3300.44262274],[3194.94225665],[3321.98047361],[3144.29907403],[3342.76679194],[2192.48360689],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09647004],[0.05742478],[0.26399957]
723,60,91.07385450495465,90.1566672019978,878.4079737796515,2455.3941199366836,-429.67273278520815,-39131.95195042631,0.35774622356850094,-217.59669758467575,[3302.57931928],[3226.75022613],[3323.89634131],[3216.59905633],[3344.51256403],[3163.98313978],[3364.46210946],[2204.2923664],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09541025],[0.05702297],[0.26221083]
733,60,89.80702189378873,90.1566672019978,890.7989410294987,2479.692177230275,-428.93800734401475,-38521.645016622046,0.3592377107163714,-157.89932198788173,[3326.87737657],[3249.71110406],[3347.25644473],[3238.18164824],[3367.01534802],[3183.64619065],[3386.18123456],[2215.9188089],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.0943805],[0.05662674],[0.26044362]
743,60,88.60467255907525,90.1566672019978,902.8869210781376,2503.8431950257914,-428.17419441689026,-37938.234294554386,0.3606004253268892,-126.19285781845545,[3351.02839437],[3272.53697522],[3370.5381406],[3259.69345765],[3389.49745505],[3203.30313043],[3407.92792994],[2227.37699202],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09337859],[0.05623608],[0.25869638]
753,60,87.46101825245735,90.1566672019978,914.6932153142669,2527.8679599424263,-427.38029387369215,-37379.115683227574,0.36184374730359714,-106.55342973860876,[3375.05315929],[3295.24756598],[3393.75480032],[3281.15049659],[3411.96656232],[3222.9569524],[3429.70559232],[2238.67928299],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09240263],[0.05585064],[0.25696897]
763,60,86.3708408144679,90.1566672019978,926.2385226959522,2551.7846479505843,-426.5563794614436,-36842.03314886011,0.36297675959444403,-93.20416021101957,[3398.96984729],[3317.86011919],[3416.9182355],[3302.5637439],[3434.42952656],[3242.61203632],[3451.51729745],[2249.83662675],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09145095],[0.05547021],[0.25526097]
