Th,p1,m_dot,W_net,Q_out_unitmass,thermal_eff
673,50,88.63340529447005,902.5942276979321,-412.57579455787436,0.3780587138272203
683,50,87.34098225711318,915.9503125863308,-411.7627163579432,0.37975724906936903
693,50,86.12313324460538,928.9025722367234,-410.9203258040134,0.3812905428895695
703,50,84.97213173425082,941.4851477446617,-410.04608844239874,0.38267278833587426
713,50,83.88073041951925,953.7351379737604,-409.14304013703213,0.3839193876836867
723,50,82.84344156610695,965.6769261108261,-408.2103379559894,0.3850405577631627
733,50,81.85443229391241,977.3447540720367,-407.2538456926836,0.38605042016242913
743,50,80.90968339742214,988.756804387012,-406.27207770319546,0.3869566206647909
753,50,80.00557062750168,999.9303720046244,-405.26420840661194,0.3877664627342355
763,50,79.1386238763205,1010.8843960317744,-404.23225273118214,0.3884878574778744
773,50,78.30593322941593,1021.6339516141247,-403.17673384870204,0.3891271671976513
783,50,77.50490145641288,1032.192783897549,-402.0983600248742,0.3896902043749279
793,50,76.73322840245366,1042.5731024949534,-400.9977080675608,0.39018215700276904
803,50,75.98886039264745,1052.7858897557655,-399.87531420206597,0.39060771169771163
813,50,75.26995597907873,1062.8410626709544,-398.73167940899566,0.39097111932179834
823,50,74.5748574137406,1072.7476092399447,-397.56727359277465,0.39127625015103046
833,50,73.90206675285422,1082.5137038120827,-396.38253950879835,0.39152664047454877
843,50,73.25022574055374,1092.1468048897677,-395.1778958625573,0.39172553208150324
853,50,72.61809881021127,1101.6537379900494,-393.9537399795563,0.3918759057320713
863,50,72.00457385216906,1111.0405314563234,-392.71027135070744,0.39198042687401236
873,50,71.40858644700592,1120.3134522116607,-391.4482305371057,0.392041814793797
