Th,p1,m_dot,W_net,Q_out_unitmass,thermal_eff
673,10,52.88191410468713,1512.8045448889925,-220.0262978226392,0.5548069469209972
683,10,52.549724258805334,1522.3676456607675,-218.15544281885104,0.553985662611094
693,10,52.226045115455584,1531.8027590093184,-216.2758907973016,0.5531254780758345
703,10,51.91048543165273,1541.1144653103074,-214.38590525416976,0.5522282137277101
713,10,51.60258245996822,1550.310007489677,-212.48677989869248,0.5512966715449714
723,10,51.30194605056059,1559.3950358365757,-210.57859581186221,0.550333069717082
733,10,51.008220680342,1568.3746449683767,-208.66143378847573,0.5493394304079255
743,10,50.72107849661327,1577.253527945817,-206.73537623770972,0.548317630339335
753,10,50.440216080309064,1586.0360287241222,-204.80050678883163,0.5472694180988862
763,10,50.16535212069736,1594.726172907563,-202.85690428391445,0.5461964241402664
773,10,49.89622432178888,1603.3277284482883,-200.90466682718807,0.545100181261228
783,10,49.63258887793751,1611.844189646156,-198.94387411432854,0.5439821189119227
793,10,49.37421783620926,1620.2788318670011,-196.97461327715564,0.5428435819568148
803,10,49.120897878263506,1628.6347248428617,-194.9969720217282,0.5416858352773233
813,10,48.87242902706354,1636.914751171858,-193.01103853689438,0.5405100702540236
823,10,48.62862349543056,1645.1216228137175,-191.01690140081655,0.5393174106187061
833,10,48.38930467300087,1653.2578953265374,-189.01464950212312,0.5381089175798369
843,10,48.154306216121164,1661.3259807119284,-187.00437196220219,0.5368855945002106
853,10,47.92347122980977,1669.3281589802225,-184.9861582386884,0.5356483911534513
863,10,47.69665155264375,1677.266587817017,-182.96009764888777,0.5343982073566902
873,10,47.47370513119625,1685.1433815607083,-180.92626450716853,0.5331359185168427
