Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,y',y'',y'''
673,90,132.6222341632591,131.5269960445201,603.2171038644947,1754.6319591948022,[1151.41485533],152703.21056267113,0.3437855447140664,0.019611789333071884,[3118.40842933],[3053.07005299],[2966.98196948],[2834.96661791],[2030.82933595],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.13025378],[0.06978477],[0.3405081]
683,90,129.50917631509455,131.5269960445201,617.7168466067669,1783.6792126395444,[1165.96236603],151002.82563930377,0.3463161101107694,0.019184404620975357,[3147.45568277],[3080.49138221],[2992.27148705],[2857.03824288],[2045.0932752],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.12829755],[0.06922485],[0.33765334]
693,90,126.58982602302663,131.5269960445201,631.9623188789914,1812.0322298868527,[1180.06991101],149384.84472949366,0.348758873300202,0.018782557518089556,[3175.80870002],[3107.25833236],[3016.95878819],[2878.5696255],[2058.8487013],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.12644387],[0.06868293],[0.33490645]
703,90,123.8385455839992,131.5269960445201,646.0024188974047,1839.7954140759903,[1193.79299518],147837.5882512822,0.3511273122842573,0.018402889915892718,[3203.57188421],[3133.47033746],[3041.12988123],[2899.64145802],[2072.15596918],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.1246798],[0.06815706],[0.33225408]
713,90,121.23589154058735,131.5269960445201,659.8705959383126,1867.0542474952063,[1207.18365156],146353.98624972178,0.35342872164725725,0.01804287594329448,[3230.83071763],[3159.20862839],[3064.86962878],[2920.33126835],[2085.07251668],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.12299486],[0.06764516],[0.32968361]
723,90,118.76463864493313,131.5269960445201,673.6011738239146,1893.879513188053,[1220.27833936],144925.91602082097,0.3556726650947353,0.017700251642824707,[3257.65598332],[3184.54050158],[3088.23414326],[2940.69090827],[2097.63853126],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.12138041],[0.06714598],[0.32718656]
733,90,116.4111403769805,131.5269960445201,687.2194511704951,1920.3304102187535,[1233.11095905],143547.85295415987,0.3578652129412515,0.01737323396370171,[3284.10688035],[3209.52220737],[3111.27830911],[2960.76987073],[2109.89167963],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.11982926],[0.0666582],[0.32475494]
743,90,114.16373941783678,131.5269960445201,700.7478942784254,1946.456893448048,[1245.70899917],142214.79757165504,0.36001202833579665,0.017060295156404757,[3310.23336358],[3234.20119306],[3134.04646326],[2980.60779021],[2121.86260817],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.11833534],[0.06618078],[0.32238238]
753,90,112.01256688383978,131.5269960445201,714.2055773345706,1972.3014580206464,[1258.09588069],140922.54898163237,0.36211785699906646,0.016760141377036093,[3336.07792815],[3258.61780409],[3156.57627943],[3000.23840121],[2133.57759969],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.11689352],[0.06571283],[0.32006348]
763,90,109.94934367232767,131.5269960445201,727.6077994464155,1997.9005188253454,[1270.29271938],139667.85076744968,0.3641862007594895,0.01647168933345546,[3361.67698896],[3282.80657362],[3178.89997996],[3019.69273127],[2145.06061881],[125.72676978],[128.55036076],[936.60057074],[939.93854198],[1122.38913075],[1129.52693716],[1363.77647013],[1254.66127389],[1254.66127389],[936.60057074],[936.60057074],[335.00636612],[525.08141346],[0.11549938],[0.06525361],[0.31779329]
