y',y'',y''
[0.06187259],[0.04454868],[0.20076125]
[0.06132531],[0.0442458],[0.19949665]
[0.0607881],[0.04394695],[0.19824747]
[0.06026043],[0.04365204],[0.19701327]
[0.05974186],[0.04336088],[0.19579332]
[0.05923202],[0.04307322],[0.19458663]
[0.05873056],[0.04278898],[0.19339284]
[0.05823715],[0.04250806],[0.1922116]
[0.0577515],[0.04223032],[0.19104236]
[0.05727333],[0.04195567],[0.18988475]
[0.0568024],[0.04168401],[0.18873839]
[0.05633847],[0.04141526],[0.18760295]
[0.05588132],[0.04114934],[0.18647803]
[0.05543075],[0.04088616],[0.18536343]
[0.05498657],[0.04062567],[0.1842589]
[0.0545486],[0.0403678],[0.1831643]
[0.05411666],[0.04011248],[0.18207932]
[0.05369061],[0.03985968],[0.18100377]
[0.05327029],[0.03960932],[0.17993746]
[0.05285556],[0.03936137],[0.1788802]
[0.05244628],[0.03911578],[0.17783181]
