Th,P1,P2,P3,P4,P5
673,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
683,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
693,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
703,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
713,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
723,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
733,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
743,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
753,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
763,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
773,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
783,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
793,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
803,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
813,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
823,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
833,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
843,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
853,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
863,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
873,10,[7.51061738],[5.02123475],[2.53185213],[0.04246951]
