y',y'',y''
[0.11048363],[0.06455792],[0.31171956]
[0.10905982],[0.06405339],[0.30930935]
[0.1076938],[0.06356251],[0.30696915]
[0.10637955],[0.06308397],[0.30469168]
[0.10511206],[0.06261653],[0.30247027]
[0.10388706],[0.06215918],[0.30029953]
[0.10270095],[0.06171108],[0.29817491]
[0.10155059],[0.06127149],[0.29609257]
[0.10043328],[0.06083979],[0.29404924]
[0.09934668],[0.06041543],[0.29204192]
[0.09828869],[0.05999794],[0.29006817]
[0.09725749],[0.05958692],[0.28812581]
[0.09625146],[0.05918204],[0.28621271]
[0.09526913],[0.05878286],[0.28432745]
[0.09430919],[0.05838916],[0.28246845]
[0.09337047],[0.05800068],[0.28063438]
[0.09245191],[0.05761718],[0.27882405]
[0.09155252],[0.05723847],[0.27703684]
[0.09067142],[0.05686435],[0.27527068]
[0.0898078],[0.05649465],[0.27352524]
[0.0889609],[0.05612921],[0.2718001]
