Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,y',y'',y'''
673,70,122.22721313235606,131.5269960445201,654.5187274569574,1891.190102530454,[1236.67137507],151154.8957357921,0.3460882787939705,0.014029896078452578,[3158.79403462],[3091.03368896],[3001.81322143],[2865.2233135],[2078.01130704],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.11048363],[0.06455792],[0.31171956]
683,70,119.81707421283336,131.5269960445201,667.6844725643565,1917.7509638869344,[1250.06649132],149779.30956177355,0.34816015485716706,0.013770381053670476,[3185.35489597],[3116.11158867],[3024.94128451],[2885.38354264],[2091.03271369],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10905982],[0.06405339],[0.30930935]
693,70,117.52072635680963,131.5269960445201,680.7309866100438,1943.8914892669648,[1263.16050266],148447.53977747407,0.35018980759401613,0.013522625412174315,[3211.49542135],[3140.79496791],[3047.70822914],[2905.22338234],[2103.69579306],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.1076938],[0.06356251],[0.30696915]
703,70,115.32604000040864,131.5269960445201,693.6854850796623,1969.6718353435833,[1275.98635026],147154.45287051238,0.35218327877377503,0.013285381997384242,[3237.27576743],[3165.141071],[3070.16382981],[2924.78864192],[2116.03717658],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10637955],[0.06308397],[0.30469168]
713,70,113.22332507502855,131.5269960445201,706.5681912007725,1995.1424162756914,[1288.57422507],145896.65836896052,0.3541442382442628,0.013057660182202821,[3262.74634836],[3189.19783188],[3092.35505442],[2944.1221058],[2128.0906593],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10511206],[0.06261653],[0.30247027]
723,70,111.20424271186224,131.5269960445201,719.3970126417339,2020.3458426761624,[1300.94883003],144671.02945086177,0.3560761714384584,0.01283860536965503,[3287.94977476],[3213.00574985],[3114.31979971],[2963.25842102],[2139.8840683],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10388706],[0.06215918],[0.30029953]
733,70,109.26164874576521,131.5269960445201,732.1873769830025,2045.3184092128174,[1313.13103223],143474.86160065816,0.3579820988678236,0.012627485040321934,[3312.9223413],[3236.59930725],[3136.09030828],[2982.22671644],[2151.44103702],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10270095],[0.06171108],[0.29817491]
743,70,107.38939653557502,131.5269960445201,744.9525053760619,2070.0912502360006,[1325.13874486],142305.85013641816,0.3598645737433718,0.012423668978219341,[3337.69518232],[3260.00806386],[3157.69419914],[3001.05194148],[2162.78199562],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10155059],[0.06127149],[0.29609257]
753,70,105.58212328709412,131.5269960445201,757.7040270583271,2094.6912475543086,[1336.9872205],141161.94954767602,0.3617258762803334,0.012226607007648611,[3362.29517964],[3283.25754463],[3179.15530307],[3019.75518702],[2173.92444384],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.10043328],[0.06083979],[0.29404924]
763,70,103.83524560122912,131.5269960445201,770.4513003920995,2119.141750694109,[1348.6904503],140041.60414714145,0.36356760945309297,0.012035830159741407,[3386.74568278],[3306.36989748],[3200.49428279],[3038.35608463],[2184.88461871],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09934668],[0.06041543],[0.29204192]
773,70,102.14462853430132,131.5269960445201,783.2032006767257,2143.46315360234,[1360.25995293],138943.24760167304,0.36539149243618274,0.011850914170705778,[3411.06708569],[3329.36446182],[3221.72916672],[3056.87045048],[2195.67593526],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09828869],[0.05999794],[0.29006817]
783,70,100.50664019665439,131.5269960445201,795.9673096570489,2167.6733602700097,[1371.70605061],137865.5664845307,0.3671989167029767,0.011671486770115825,[3435.27729236],[3352.25820828],[3242.87576289],[3075.31250797],[2206.31052815],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09725749],[0.05958692],[0.28812581]
793,70,98.91801085171214,131.5269960445201,808.7505936601161,2191.788163572205,[1383.03756991],136807.3253488896,0.36899122237342674,0.011497212039041086,[3459.39209566],[3375.06609998],[3263.9454355],[3093.69627119],[2216.79840963],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09625146],[0.05918204],[0.28621271]
803,70,97.37596297447777,131.5269960445201,821.5579857317354,2215.8215557054136,[1394.26356997],135767.75776642014,0.37076901956132013,0.011327807590885456,[3483.42548779],[3397.80138836],[3284.95594835],[3112.03117449],[2227.15110753],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09526913],[0.05878286],[0.28432745]
813,70,95.87780599696623,131.5269960445201,834.3953970174429,2239.785984270953,[1405.39058725],134745.7660746545,0.37253353797060984,0.011162996254494103,[3507.38991636],[3420.47585722],[3305.91539171],[3130.32735269],[2237.37622328],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09430919],[0.05838916],[0.28246845]
823,70,94.42118258824662,131.5269960445201,847.267507216736,2263.692564842717,[1416.42505763],133740.52898867047,0.3742855900026357,0.011002536469614669,[3531.29649693],[3443.10004567],[3326.83354913],[3148.59356553],[2247.48158012],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09337047],[0.05800068],[0.28063438]
833,70,93.00394946621365,131.5269960445201,860.1785242363528,2287.551258452627,[1427.37273422],132751.30164250158,0.3760259015215271,0.010846208565280343,[3555.15519054],[3465.68334903],[3347.71913767],[3166.83760817],[2257.47424069],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09245191],[0.05761718],[0.27882405]
843,70,91.62405653238407,131.5269960445201,873.1331380391829,2311.371020608036,[1438.23788257],131777.189059505,0.3777555097188568,0.010693801182697896,[3578.97495269],[3488.23423843],[3368.58001285],[3185.0626483],[2267.36013529],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09155252],[0.05723847],[0.27703684]
853,70,90.27995058383117,131.5269960445201,886.1325187114993,2335.159927066785,[1449.02740836],130818.12282093208,0.37947401736401765,0.010545158172716137,[3602.76385915],[3510.76034966],[3389.42325237],[3203.28415345],[2277.14631734],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.09067142],[0.05686435],[0.27527068]
863,70,88.96987340104653,131.5269960445201,899.1807781875408,2358.9252805269243,[1459.74450234],129873.28357100865,0.38118239081599337,0.010400097833098322,[3626.52921261],[3533.26858384],[3410.25525033],[3221.50344383],[2286.83758077],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.0898078],[0.05649465],[0.27352524]
873,70,87.69223426781411,131.5269960445201,912.2814656047894,2382.6737015593108,[1470.39223595],128941.9804208989,0.3828814096566216,0.010258456074594295,[3650.27763364],[3555.76519465],[3431.08179965],[3239.72235881],[2296.43841494],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393],[335.00636612],[525.08141346],[0.0889609],[0.05612921],[0.2718001]
