Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
673,[3158.79403462],[3091.03368896],[3001.81322143],[2865.2233135],[2078.01130704],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
683,[3185.35489597],[3116.11158867],[3024.94128451],[2885.38354264],[2091.03271369],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
693,[3211.49542135],[3140.79496791],[3047.70822914],[2905.22338234],[2103.69579306],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
703,[3237.27576743],[3165.141071],[3070.16382981],[2924.78864192],[2116.03717658],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
713,[3262.74634836],[3189.19783188],[3092.35505442],[2944.1221058],[2128.0906593],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
723,[3287.94977476],[3213.00574985],[3114.31979971],[2963.25842102],[2139.8840683],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
733,[3312.9223413],[3236.59930725],[3136.09030828],[2982.22671644],[2151.44103702],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
743,[3337.69518232],[3260.00806386],[3157.69419914],[3001.05194148],[2162.78199562],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
753,[3362.29517964],[3283.25754463],[3179.15530307],[3019.75518702],[2173.92444384],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
763,[3386.74568278],[3306.36989748],[3200.49428279],[3038.35608463],[2184.88461871],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
773,[3411.06708569],[3329.36446182],[3221.72916672],[3056.87045048],[2195.67593526],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
783,[3435.27729236],[3352.25820828],[3242.87576289],[3075.31250797],[2206.31052815],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
793,[3459.39209566],[3375.06609998],[3263.9454355],[3093.69627119],[2216.79840963],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
803,[3483.42548779],[3397.80138836],[3284.95594835],[3112.03117449],[2227.15110753],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
813,[3507.38991636],[3420.47585722],[3305.91539171],[3130.32735269],[2237.37622328],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
823,[3531.29649693],[3443.10004567],[3326.83354913],[3148.59356553],[2247.48158012],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
833,[3555.15519054],[3465.68334903],[3347.71913767],[3166.83760817],[2257.47424069],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
843,[3578.97495269],[3488.23423843],[3368.58001285],[3185.0626483],[2267.36013529],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
853,[3602.76385915],[3510.76034966],[3389.42325237],[3203.28415345],[2277.14631734],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
863,[3626.52921261],[3533.26858384],[3410.25525033],[3221.50344383],[2286.83758077],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
873,[3650.27763364],[3555.76519465],[3431.08179965],[3239.72235881],[2296.43841494],[125.72676978],[127.92259987],[878.59268393],[881.14126943],[1049.97674402],[1055.37629542],[1267.60393209],[1170.13700633],[1170.13700633],[878.59268393],[878.59268393]
