Th,P1,P2,P3,P4,P5
673,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
683,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
693,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
703,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
713,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
723,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
733,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
743,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
753,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
763,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
773,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
783,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
793,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
803,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
813,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
823,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
833,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
843,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
853,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
863,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
873,60,[45.01061738],[30.02123475],[15.03185213],[0.04246951]
