y',y'',y''
[0.09175613],[0.05813325],[0.27702047]
[0.09073589],[0.0576994],[0.27504426]
[0.08974687],[0.05727476],[0.27311035]
[0.08878651],[0.05685872],[0.27121561]
[0.08785259],[0.05645055],[0.26935653]
[0.0869432],[0.05604967],[0.26753034]
[0.08605666],[0.05565558],[0.26573467]
[0.0851915],[0.05526786],[0.26396747]
[0.08434642],[0.05488621],[0.26222727]
[0.08352025],[0.05451008],[0.26051165]
[0.08271196],[0.05413931],[0.25881965]
[0.08192062],[0.05377367],[0.2571503]
[0.08114539],[0.05341288],[0.25550187]
[0.0803855],[0.05305675],[0.25387412]
[0.07964026],[0.05270507],[0.25226583]
[0.07890902],[0.05235761],[0.25067639]
[0.07819121],[0.05201439],[0.24910479]
[0.07748629],[0.0516751],[0.24755029]
[0.07679375],[0.05133965],[0.24601243]
[0.07611315],[0.05100794],[0.24449085]
[0.07544405],[0.05067985],[0.24298493]
