Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,y',y'',y'''
673,80,127.13306190915324,131.5269960445201,629.2619622200747,1821.747376988083,[1192.48541477],151604.32206146346,0.3454166972703104,0.016700686972150578,[3138.98121398],[3072.41209383],[2984.73181344],[2850.39087966],[2053.63962731],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.12016552],[0.06730775],[0.32670295]
683,80,124.4038567044977,131.5269960445201,643.0668800729204,1849.4931171256612,[1206.42623705],150084.07671885556,0.3476989852616078,0.01636610991686979,[3166.72695412],[3098.60628568],[3008.88813196],[2871.45871135],[2067.25250736],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.11849538],[0.06677304],[0.32407287]
693,80,121.82292701985841,131.5269960445201,656.6908377349952,1876.6926044311626,[1220.0017667],148624.18618832555,0.3499192335412023,0.016048984084167005,[3193.92644142],[3124.28652855],[3032.57136978],[2892.10463839],[2080.4371895],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.11690247],[0.06625429],[0.32153038]
703,80,119.37312567284697,131.5269960445201,670.1675904780055,1903.4256058810847,[1233.2580154],147217.8640597576,0.3520849926613175,0.01574731107457287,[3220.65944287],[3149.52875157],[3055.85380851],[2912.3952239],[2093.24439392],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.11537793],[0.06574965],[0.31906473]
713,80,117.03984141662441,131.5269960445201,683.5279254627967,1929.7582257226027,[1246.23030026],145858.5967109999,0.35420391857992883,0.01545937911780796,[3246.99206271],[3174.39579514],[3078.78973423],[2932.38032449],[2105.71322535],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.11391443],[0.06525778],[0.31666784]
723,80,114.81145853277263,131.5269960445201,696.7945623403452,1955.7457829918858,[1258.95122065],144542.02586461778,0.35628074384718544,0.015183835249491278,[3272.97961998],[3198.9402462],[3101.43065199],[2952.10700392],[2117.88007845],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.11250588],[0.06477736],[0.31433223]
733,80,112.67797926138225,131.5269960445201,709.9878833859966,1981.4349786650423,[1271.44709528],143264.08943379702,0.35832005139242,0.014919511164946168,[3298.66881565],[3223.20647429],[3123.81805029],[2971.61275185],[2129.77444311],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.11114712],[0.06430734],[0.31205192]
743,80,110.63090326185954,131.5269960445201,723.1252538058263,2006.8655522351091,[1283.74029843],142021.34876888065,0.360325709413099,0.014665413242505667,[3324.09938922],[3247.23222132],[3145.98719477],[2990.92937009],[2141.42154284],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.10983378],[0.06384684],[0.30982189]
753,80,108.66288194195741,131.5269960445201,736.2219607126951,2032.0715646632857,[1295.84960395],140810.75252861527,0.36230119721924614,0.014420681485842773,[3349.30540165],[3271.04980876],[3167.96826333],[3010.08331067],[2152.8426307],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.1085621],[0.06339509],[0.30763793]
763,80,106.76775509869454,131.5269960445201,749.2898949317533,2057.082403590187,[1307.79250866],139630.070284351,0.3642488476028145,0.014184597526725075,[3374.31624058],[3294.68714001],[3189.78729184],[3029.09978087],[2164.05781221],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.10732882],[0.06295144],[0.30549612]
773,80,104.93997139414549,131.5269960445201,762.3405927902047,2081.9235791993187,[1319.58298641],138477.00084597347,0.36617126603820455,0.013956511303722807,[3399.15741619],[3318.16839988],[3211.46682612],[3047.99835544],[2175.08311722],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.10613113],[0.06251533],[0.30339338]
783,80,103.17471463134673,131.5269960445201,775.3837777584146,2106.6173603192537,[1331.23358256],137349.64498837994,0.3680705344804083,0.013735859503793439,[3423.85119731],[3341.51469821],[3233.02653262],[3066.79673005],[2185.93308576],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.10496652],[0.06208626],[0.30132693]
793,80,101.46784916180043,131.5269960445201,788.427079718938,2131.18328724305,[1342.75620752],136246.58432612784,0.3699480398698444,0.01352216004672067,[3448.41712423],[3364.74455013],[3254.483646],[3085.51406645],[2196.62104519],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.10383282],[0.0616638],[0.29929387]
803,80,99.81539697071118,131.5269960445201,801.479555538655,2155.638588452286,[1354.15903291],135165.92143174843,0.3718060902380229,0.013314944659260971,[3472.87242544],[3387.87427313],[3275.8533494],[3104.15779622],[2207.15760878],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.10272808],[0.06124758],[0.29729293]
813,80,98.21407523910737,131.5269960445201,814.5472001363935,2179.998521747691,[1365.45132161],134106.53883607057,0.37364575801793487,0.013113830530668924,[3497.23235874],[3410.91831208],[3297.14907019],[3122.74266809],[2217.55332127],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.10165056],[0.06083725],[0.29532186]
823,80,96.66085928416257,131.5269960445201,827.635928259409,2204.2766554122386,[1376.64072715],133067.27561216688,0.37546826358083735,0.012918463769833053,[3521.5104924],[3433.88952997],[3318.38275857],[3141.27937874],[2227.81733368],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.10059872],[0.06043252],[0.293379]
833,80,95.15301975196104,131.5269960445201,840.7510366832184,2228.4851014322544,[1387.73406475],132047.08687353416,0.37727469487808785,0.012728524953810357,[3545.71893842],[3456.79936486],[3339.56503455],[3159.77742111],[2237.95786919],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.09957114],[0.06003312],[0.29146289]
843,80,93.6880856244072,131.5269960445201,853.8972641699359,2252.6347101140636,[1398.73744594],131045.03360167805,0.37906601560210273,0.012543724867552909,[3569.8685471],[3479.65806399],[3360.70540674],[3178.24528303],[2247.98236496],[125.72676978],[128.23648031],[908.88315989],[911.82373259],[1087.65168781],[1093.91078429],[1317.23383699],[1213.95012734],[1213.95012734],[908.88315989],[908.88315989],[335.00636612],[525.08141346],[0.09856657],[0.05963881],[0.2895722]
