Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,y',y'',y'''
673,50,113.9778265652931,131.5269960445201,701.8909064226748,2041.7064797482426,[1339.81557333],152709.26704598032,0.343776597363409,0.00929693362862315,[3196.33735193],[3126.30800968],[3034.16218295],[2893.30653677],[2134.23838943],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.09175613],[0.05813325],[0.27702047]
683,50,112.05605119914199,131.5269960445201,713.9284237120481,2066.1982469267905,[1352.26982321],151530.01654520584,0.34552755272826635,0.009148310129924482,[3220.82911911],[3149.43899898],[3055.49636931],[2911.89001454],[2146.22580208],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.09073589],[0.0576994],[0.27504426]
693,50,110.20125706597496,131.5269960445201,725.9445321218599,2090.468590698218,[1364.52405858],150372.26655188072,0.34726402269425816,0.009004652854097274,[3245.09946288],[3172.36398545],[3076.64680944],[2930.31290456],[2157.96678053],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08974687],[0.05727476],[0.27311035]
703,50,108.40770469826208,131.5269960445201,737.9549287817595,2114.549581514279,[1376.59465273],149233.46660263362,0.3489891820144943,0.008865536105060329,[3269.1804537],[3195.11347929],[3097.63579451],[2948.59585344],[2169.48015161],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08878651],[0.05685872],[0.27121561]
713,50,106.67109401404787,131.5269960445201,749.9688715057571,2138.4686580253683,[1388.49978652],148112.7912663189,0.35070370037514026,0.008730646443648103,[3293.09953021],[3217.71357016],[3118.49045301],[2966.7634928],[2180.78668537],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08785259],[0.05645055],[0.26935653]
723,50,104.98749886086257,131.5269960445201,761.9954839196816,2162.249451145746,[1400.25396723],147009.16178906473,0.35240868416727344,0.008599696061701412,[3316.88032333],[3240.18671577],[3139.23179804],[2984.83500552],[2191.90315744],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.0869432],[0.05604967],[0.26753034]
733,50,103.35346719837246,131.5269960445201,774.0427309173019,2185.9124370069762,[1411.86970609],145921.62935671493,0.35410509488529507,0.008472431944476918,[3340.54330919],[3262.55236975],[3159.87801675],[3002.82683167],[2202.84415036],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08605666],[0.05565558],[0.26573467]
743,50,101.76595881658017,131.5269960445201,786.1174888961597,2209.475458902209,[1423.35797001],144849.38855688678,0.3557937182460251,0.00834863142193332,[3364.10633109],[3284.82747359],[3180.44493488],[3020.75333348],[2213.62255776],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.0851915],[0.05526786],[0.26396747]
753,50,100.22204293594127,131.5269960445201,798.2275920191872,2232.9541478941233,[1434.72655587],143791.226484233,0.35747603360865593,0.008228077701165999,[3387.58502008],[3307.02686248],[3200.94268745],[3038.62381463],[2224.24787888],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08434642],[0.05488621],[0.26222727]
763,50,98.7198600246273,131.5269960445201,810.3739205063974,2256.36226430748,[1445.9883438],142747.76689728547,0.35915062635348427,0.00811064013792958,[3410.99313649],[3329.16359047],[3221.3924564],[3056.45704961],[2234.73487163],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08352025],[0.05451008],[0.26051165]
773,50,97.25694396563023,131.5269960445201,822.5633742745538,2279.711976927462,[1457.14860265],141717.81999781023,0.3608189905565105,0.007996135459116677,[3434.34284911],[3351.2491969],[3241.80025201],[3074.25877961],[2245.09025795],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08271196],[0.05413931],[0.25881965]
783,50,95.83117483168066,131.5269960445201,834.8014113414891,2303.014092762744,[1468.21268142],140700.54616337092,0.3624821115792843,0.007884407079525105,[3457.64496495],[3373.29392564],[3262.1729372],[3092.03516513],[2255.32079554],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08192062],[0.05377367],[0.2571503]
793,50,94.4409985633094,131.5269960445201,847.0897302761073,2326.2782472917324,[1479.18851702],139696.04061033644,0.3641394709606619,0.00777534352567249,[3480.90911948],[3395.30690655],[3282.52114144],[3109.79945373],[2265.4354293],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08114539],[0.05341288],[0.25550187]
803,50,93.08461066443573,131.5269960445201,859.4331482826422,2349.513062905586,[1490.07991462],138703.5087115724,0.36579202808083217,0.007668811390292886,[3504.14393509],[3417.29630652],[3302.85246332],[3127.55195124],[2275.4399934],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.0803855],[0.05305675],[0.25387412]
813,50,91.76060336131142,131.5269960445201,871.8338488359375,2372.7262815928902,[1500.89243276],137722.7952102045,0.36743970663596576,0.007564708510466417,[3527.35715378],[3439.26946172],[3323.17372514],[3145.30169703],[2285.34094945],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.07964026],[0.05270507],[0.25226583]
823,50,90.46764149668377,131.5269960445201,884.2940821324775,2395.924876636811,[1511.6307945],136753.67279256534,0.36908255795305733,0.00746293785851049,[3550.55574882],[3461.23296632],[3343.49379215],[3163.05259973],[2295.14464261],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.07890902],[0.05235761],[0.25067639]
833,50,89.20429556634382,131.5269960445201,896.8177988749621,2419.115147115147,[1522.29734824],135795.46259227887,0.3707214185089283,0.00736339291359244,[3573.7460193],[3483.19277937],[3363.80999454],[3180.81179895],[2304.85343329],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.07819121],[0.05201439],[0.24910479]
843,50,87.96964288095137,131.5269960445201,909.4046239139947,2442.3027982335752,[1532.89817432],134848.50496775584,0.3723553953145091,0.007266009104944246,[3596.93367042],[3505.15429823],[3384.13554494],[3198.58507107],[2314.47516846],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.07748629],[0.0516751],[0.24755029]
