Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,y',y'',y'''
673,100,138.77728575621217,131.5269960445201,576.463212722972,1689.0611247360514,[1112.59791201],154403.31836720416,0.34129209670434846,0.02279920238986304,[3097.01748387],[3032.95114086],[2948.51066968],[2818.89560628],[2009.14659964],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.14089145],[0.07198973],[0.35330486]
683,100,135.1990852557202,131.5269960445201,591.7199798259378,1719.542104110198,[1127.82212428],152480.51953439516,0.3441148538390294,0.022256311047304234,[3127.49846324],[3061.72560102],[2975.05106735],[2842.08182374],[2024.12873146],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.13859947],[0.0714117],[0.35021949]
693,100,131.87401733151947,131.5269960445201,606.6395914737864,1749.1540987922715,[1142.51450732],150667.97793963033,0.34681883768425514,0.021750286203444578,[3157.11045792],[3089.67944846],[3000.83070676],[2864.58032313],[2038.50454498],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.13644316],[0.07085342],[0.34726673]
703,100,128.7665830917863,131.5269960445201,621.2792020968288,1778.0328813846274,[1156.75367929],148951.21876074185,0.3494194109689429,0.021276027293495904,[3185.98924052],[3116.94242369],[3025.97602497],[2886.51040556],[2052.35921475],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.13440381],[0.07031221],[0.3444267]
713,100,125.84734436574698,131.5269960445201,635.690807805193,1806.2879050352155,[1170.59709723],147316.53600865047,0.35193216210612865,0.020829271592157993,[3214.24426417],[3143.61846416],[3050.57703374],[2907.95672901],[2065.75490632],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.13246651],[0.06978626],[0.34168535]
723,100,123.09342464135243,131.5269960445201,649.9128627957965,1834.0087772183222,[1184.09591442],145754.42121010245,0.3543673677404818,0.02040672046302673,[3241.96513635],[3169.79276793],[3074.71641885],[2928.99542239],[2078.74788659],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.13061918],[0.0692738],[0.33903021]
733,100,120.48573336830924,131.5269960445201,663.9790269230498,1861.269699730283,[1197.29067281],144256.44476821588,0.35673445230385853,0.020005610795817294,[3269.22605886],[3195.53586654],[3098.46013401],[2949.68593412],[2091.38272859],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.12885187],[0.06877343],[0.33645158]
743,100,118.00832478548648,131.5269960445201,677.9182752184868,1888.1327401013489,[1210.21446488],142815.38163199055,0.3590416398277688,0.019623629985587598,[3296.08909923],[3220.90670497],[3121.86326341],[2970.07631148],[2103.69584047],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.12715628],[0.06828399],[0.3339417]
753,100,115.6484753761044,131.5269960445201,691.7514454023647,1914.6502856018399,[1222.8988402],141426.3864082757,0.36129388776860816,0.019258942547142294,[3322.60664473],[3245.95503093],[3144.97226463],[2990.21413652],[2115.7229574],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.12552547],[0.0678045],[0.33149287]
763,100,113.39447397308798,131.5269960445201,705.5017515138037,1940.8669130368291,[1235.36516152],140083.58265558234,0.36349826295401244,0.018909840048912198,[3348.82327217],[3270.72315288],[3167.82661753],[3010.12913979],[2127.48732213],[125.72676978],[128.8642412],[962.23974023],[965.98035006],[1154.76400552],[1162.79967858],[1407.95635913],[1292.9116605],[1292.9116605],[962.23974023],[962.23974023],[335.00636612],[525.08141346],[0.12395351],[0.06733412],[0.32910033]
