Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,y',y'',y'''
673,60,117.85005063542003,131.5269960445201,678.8287282751143,1964.007295560334,[1285.17856729],151458.35923011974,0.3456345247849212,0.011570059971903824,[3177.89776773],[3108.98423394],[3018.2759368],[2879.51359231],[2104.56386146],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.101066],[0.06151513],[0.29529564]
683,60,115.70595884466238,131.5269960445201,691.4077788111297,1989.4871049732217,[1298.07932616],150195.5130900181,0.3475306661112719,0.01137155745891339,[3203.37757714],[3133.04449498],[3040.46476013],[2898.84719732],[2117.04430397],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09985665],[0.06104451],[0.29310272]
693,60,113.64927795602787,131.5269960445201,703.920002298236,2014.6539202564425,[1310.73391796],148963.96336842564,0.3493999615619516,0.011180818541879488,[3228.54439243],[3156.81199337],[3062.388729],[2917.9472388],[2129.22688532],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.0986901],[0.06058523],[0.29096473]
703,60,111.67161360325059,131.5269960445201,716.3861738778647,2039.552265294952,[1323.16609142],147760.0924936523,0.3512467839475856,0.0109970994751911,[3253.44273747],[3180.32909094],[3084.08230408],[2936.84546753],[2141.13835858],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09756236],[0.06013638],[0.28887677]
713,60,109.76637485706853,131.5269960445201,728.8206438827137,2064.2198488491395,[1335.39920497],146581.92971617595,0.3530731691631837,0.010819822036616503,[3278.11032102],[3203.63164141],[3105.58107365],[2955.57425694],[2152.80512664],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09647004],[0.05969699],[0.28683396]
723,60,107.92777031703093,131.5269960445201,741.2364747738706,2088.6888471096527,[1347.45237234],145427.53015459477,0.3548812336502876,0.010648476650386748,[3302.57931928],[3226.75022613],[3126.9136515],[2974.15974353],[2164.24897093],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09541025],[0.05926628],[0.28483238]
733,60,106.15077276149758,131.5269960445201,753.6450081220431,2112.986904403244,[1359.34189628],144295.19273732894,0.35667282487720375,0.0104826208951194,[3326.87737657],[3249.71110406],[3148.10458598],[2992.62410183],[2175.48859341],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.0943805],[0.05884358],[0.28286868]
743,60,104.43100832463175,131.5269960445201,766.0559950863818,2137.137922198761,[1371.08192711],143183.46814402498,0.3584494885094908,0.010321870015892893,[3351.02839437],[3272.53697522],[3169.17508012],[3010.98653205],[2186.54035417],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09337859],[0.05842833],[0.28094]
753,60,102.76462970391682,131.5269960445201,778.4779668889406,2161.162687115396,[1382.68472023],142091.0832713355,0.3602125705436879,0.010165885586389173,[3375.05315929],[3295.24756598],[3190.14354381],[3029.26357918],[2197.41853339],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09240263],[0.05802003],[0.27904384]
763,60,101.14825617279007,131.5269960445201,790.9182325727611,2185.0793751235533,[1394.16114255],141016.9683928773,0.3619631586738305,0.010014370491335835,[3398.96984729],[3317.86011919],[3211.02605628],[3047.46992152],[2208.1359032],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09145095],[0.05761824],[0.27717802]
