y',y'',y''
[0.04879969],[0.0371417],[0.15602094]
[0.04840663],[0.03689959],[0.15508512]
[0.04801931],[0.03666013],[0.15415828]
[0.04763752],[0.03642324],[0.15324018]
[0.04726112],[0.03618886],[0.15233055]
[0.04688992],[0.03595693],[0.15142922]
[0.04652377],[0.03572737],[0.15053591]
[0.04616254],[0.03550011],[0.14965041]
[0.04580609],[0.03527512],[0.14877257]
[0.04545429],[0.03505233],[0.14790219]
[0.04510704],[0.0348317],[0.14703907]
[0.04476421],[0.03461318],[0.1461831]
[0.04442571],[0.03439673],[0.14533412]
[0.04409142],[0.03418231],[0.14449211]
[0.04376127],[0.03396988],[0.14365688]
[0.04343514],[0.03375941],[0.14282831]
[0.04311297],[0.03355087],[0.14200631]
[0.04279467],[0.03334421],[0.14119076]
[0.04248015],[0.03313942],[0.14038158]
[0.04216935],[0.03293646],[0.13957868]
[0.04186226],[0.03273536],[0.13878217]
