Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,y',y'',y'''
673,10,107.28151718578056,131.5269960445201,745.701609173397,2501.664462573107,[1755.9628534],188382.35903459325,0.2980821850130931,0.0016994006713005746,[3264.18977354],[3190.24380481],[3093.17305158],[2945.56623079],[2357.50835658],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04879969],[0.0371417],[0.15602094]
683,10,105.8224081397941,131.5269960445201,755.983552125538,2522.969192848973,[1766.98564072],186986.67564979094,0.29964042140041774,0.0016768661971262955,[3285.49450382],[3210.38734928],[3111.77416375],[2961.78282092],[2367.9106962],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04840663],[0.03689959],[0.15508512]
693,10,104.38746335672843,131.5269960445201,766.3755534188243,2544.3005620942613,[1777.92500868],185593.08169411824,0.3012126652159391,0.0016546911929132186,[3306.82587306],[3230.55932283],[3130.4070618],[2978.03199501],[2378.20699625],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04801931],[0.03666013],[0.15415828]
703,10,102.97625587131034,131.5269960445201,776.8781193596335,2565.6622974798615,[1788.78417812],184202.2972246602,0.30279827556523203,0.0016328698222511154,[3328.18760845],[3250.76399147],[3149.07373846],[2994.31566558],[2388.40151784],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04763752],[0.03642324],[0.15324018]
713,10,101.58849202814962,131.5269960445201,787.490771866487,2587.0577029529472,[1799.56693109],182815.29083279855,0.3043962919604077,0.0016113983085957696,[3349.58301392],[3271.00374554],[3167.77754714],[3010.6369083],[2398.49908855],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04726112],[0.03618886],[0.15233055]
723,10,100.22375654974273,131.5269960445201,798.2139440192971,2608.4897934329856,[1810.27584941],181432.64601951622,0.30600615959044347,0.0015902709023712283,[3371.0151044],[3291.28173659],[3186.51977606],[3026.99697718],[2408.50324967],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04688992],[0.03595693],[0.15142922]
733,10,98.88181380595736,131.5269960445201,809.0466479204108,2629.9612788490945,[1820.91463093],180055.34149203365,0.30762682873964603,0.0015694846838416067,[3392.48658982],[3311.60055005],[3205.30402144],[3043.39912428],[2418.418621],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04652377],[0.03572737],[0.15053591]
743,10,97.56234813328724,131.5269960445201,819.9884641020119,2651.474615614985,[1831.48615151],178684.08951520314,0.309257520050526,0.0015490354163268756,[3413.99992658],[3331.96252957],[3224.13249015],[3059.84543132],[2428.24895808],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04616254],[0.03550011],[0.14965041]
753,10,96.26502573333289,131.5269960445201,831.0390963963464,2673.032036966719,[1841.99294057],177319.49782462438,0.310897544400323,0.0015289185409886098,[3435.55734793],[3352.36980598],[3243.00712347],[3076.33756318],[2437.99762168],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04580609],[0.03527512],[0.14877257]
763,10,94.98953825106386,131.5269960445201,842.1980090960598,2694.635578705701,[1852.43756961],175962.18937614278,0.3125461623647781,0.0015091298727157765,[3457.16088967],[3372.82432193],[3261.92989316],[3092.87738421],[2447.66798346],[125.72676978],[126.03931719],[537.13513374],[537.46734642],[640.78563777],[641.4656923],[762.52531097],[709.49803021],[709.49803021],[537.13513374],[537.13513374],[335.00636612],[525.08141346],[0.04545429],[0.03505233],[0.14790219]
