y',y'',y''
[0.06187259],[0.04321859],[0.1954841]
[0.06132531],[0.04292114],[0.19423156]
[0.0607881],[0.04262741],[0.19299324]
[0.06026043],[0.04233729],[0.19176875]
[0.05974186],[0.04205063],[0.19055751]
[0.05923202],[0.04176733],[0.18935895]
[0.05873056],[0.04148727],[0.1881728]
[0.05823715],[0.04121036],[0.18699862]
[0.0577515],[0.04093652],[0.18583596]
[0.05727333],[0.04066567],[0.18468466]
[0.0568024],[0.04039772],[0.18354434]
[0.05633847],[0.0401326],[0.18241488]
[0.05588132],[0.03987025],[0.18129595]
[0.05543075],[0.03961062],[0.18018731]
[0.05498657],[0.03935364],[0.17908875]
[0.0545486],[0.03909925],[0.17800006]
[0.05411666],[0.03884741],[0.17692105]
[0.05369061],[0.03859806],[0.17585155]
[0.05327029],[0.03835116],[0.17479138]
[0.05285556],[0.03810667],[0.1737404]
[0.05244628],[0.03786454],[0.17269844]
