Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,y',y'',y'''
673,50,67.32335963270013,52.954368678603075,1188.294827181242,2230.4637609635165,[81.11353732],5460.835844043223,0.5327568409665271,-6.446088973001731,[3196.33735193],[3126.30800968],[3218.49474767],[3119.21215692],[2967.39225246],[2192.40046552],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.09175613],[0.05599319],[0.26819365]
683,50,66.38916489486114,52.954368678603075,1205.0159107543227,2254.9555281420644,[87.40490411],5802.738591403497,0.5343856655777052,-6.327925215920864,[3220.82911911],[3149.43899898],[3241.86928872],[3140.78561382],[2986.18893485],[2203.98620933],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.09073589],[0.05558904],[0.2663246]
693,50,65.49602198756519,52.954368678603075,1221.4482280341924,2279.2258719134916,[93.80088708],6143.584962339612,0.5359048627369006,-6.219099176343628,[3245.09946288],[3172.36398545],[3265.11802964],[3162.24738186],[3004.89181073],[2215.37497645],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08974687],[0.05519146],[0.26448711]
703,50,64.64019480917364,52.954368678603075,1237.6200324917108,2303.3068627295524,[100.30273179],6483.588122658726,0.5373231211689523,-6.118289042626599,[3269.1804537],[3195.11347929],[3288.26103554],[3183.61618788],[3023.51782537],[2226.58219463],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08878651],[0.05480007],[0.26267904]
713,50,63.818421604641465,52.954368678603075,1253.55654352601,2327.225939240642,[106.91034036],6822.849175026384,0.5386484064091503,-6.0243296675054445,[3293.09953021],[3217.71357016],[3311.31569126],[3204.90491309],[3042.07871585],[2237.61966557],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08785259],[0.05441461],[0.26089887]
723,50,63.028061126236665,52.954368678603075,1269.2759156873133,2351.00673236102,[113.62743861],7161.717146239855,0.5398861254695904,-5.936624988423751,[3316.88032333],[3240.18671577],[3334.2971447],[3226.13767332],[3060.59584661],[2248.50442453],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.0869432],[0.05403455],[0.25914403]
733,50,62.26653594860596,52.954368678603075,1284.7992710889043,2374.6697182222497,[120.45145934],7500.095123237092,0.5410433548842086,-5.854169437656741,[3340.54330919],[3262.55236975],[3357.21866438],[3247.31682942],[3079.07179107],[2259.24200167],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08605666],[0.05365984],[0.25741402]
743,50,61.53175525570818,52.954368678603075,1300.1416856636567,2398.2327401174825,[127.38368195],7838.141541011442,0.542124900521526,-5.776448349929474,[3364.10633109],[3284.82747359],[3380.09192987],[3268.45658542],[3097.51912762],[2269.84350244],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.0851915],[0.05329019],[0.25570727]
753,50,60.82184647135798,52.954368678603075,1315.3168580252382,2421.7114291093967,[134.42577575],8176.023894570978,0.543135256420273,-5.703030182580723,[3387.58502008],[3307.02686248],[3402.92726935],[3289.56654924],[3115.95054919],[2280.31969944],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08434642],[0.05292536],[0.25402221]
763,50,60.1350904523388,52.954368678603075,1330.3380671457626,2445.1195455227535,[141.57504697],8513.628255540483,0.5440789468072177,-5.6333392850882475,[3410.99313649],[3329.16359047],[3425.73385504],[3310.65524869],[3134.36662573],[2290.67430896],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08352025],[0.05256517],[0.25235863]
773,50,59.470034127166464,52.954368678603075,1345.2153033733548,2468.4692581427353,[148.83342776],8851.129028244473,0.5449593098783367,-5.56706367427279,[3434.34284911],[3351.2491969],[3448.51986507],[3331.73028327],[3152.7773228],[2300.91508283],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08271196],[0.05220944],[0.25071527]
783,50,58.82522192908152,52.954368678603075,1359.960870125511,2491.7713739780174,[156.19753635],9188.35474031888,0.5457807583503882,-5.503833935455661,[3457.64496495],[3373.29392564],[3471.29261817],[3352.79845052],[3171.18546097],[2311.04877808],[125.72676978],[127.29483897],[807.11094642],[808.89277075],[962.13470201],[965.87359097],[1154.63087219],[1069.14544856],[1069.14544856],[807.11094642],[807.11094642],[335.00636612],[525.08141346],[0.08192062],[0.051858],[0.24909166]
