Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,y',y'',y'''
673,60,72.94889548405679,49.01801254056531,1096.6581394982773,2164.7917060581776,[62.77746696],4579.54687581587,0.5065882950444033,-6.405884092456884,[3177.89776773],[3108.98423394],[3205.30181125],[3107.12394368],[2956.91837921],[2164.75457562],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.101066],[0.05909671],[0.28529407]
683,60,71.80992189286958,49.01801254056531,1114.0521795769237,2190.271515471065,[69.12491277],4963.85458653658,0.5086365647855868,-6.268217139970324,[3203.37757714],[3133.04449498],[3229.33246895],[3129.29846971],[2976.23758653],[2176.67603202],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09985665],[0.05866828],[0.28325922]
693,60,70.72837273327988,49.01801254056531,1131.0878068930538,2215.4383307542857,[75.56768359],5344.779291472779,0.5105480893742389,-6.143501874483465,[3228.54439243],[3156.81199337],[3253.1822176],[3151.31024751],[2995.41754681],[2188.3685981],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.0986901],[0.05824711],[0.28126245]
703,60,69.69835622989473,49.01801254056531,1147.8032528647602,2240.336675792795,[82.10809979],5722.799588461556,0.5123351616151993,-6.029655998270323,[3253.44273747],[3180.32909094],[3276.87790654],[3173.18433329],[3014.48089878],[2199.85185019],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09756236],[0.05783274],[0.27930092]
713,60,68.71488640030033,49.01801254056531,1164.2309867756742,2265.0042593469825,[88.74792633],6098.30367587799,0.5140082990887314,-5.925031530730462,[3278.11032102],[3203.63164141],[3300.44262274],[3194.94225665],[3033.446845],[2211.1426541],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09647004],[0.05742478],[0.27737218]
723,60,67.77364885114739,49.01801254056531,1180.3997771420807,2289.4732576074966,[95.48768109],6471.548567814656,0.5155770102226922,-5.828224587332932,[3302.57931928],[3226.75022613],[3323.89634131],[3216.59905633],[3052.32952272],[2222.2543242],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09541025],[0.05702297],[0.27547441]
733,60,66.87115278946459,49.01801254056531,1196.3305052010983,2313.771314901088,[102.3317399],6843.041414032963,0.5170478592661785,-5.738465194820915,[3326.87737657],[3249.71110406],[3347.25644473],[3238.18164824],[3071.15261647],[2233.2052595],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.0943805],[0.05662674],[0.27360468]
743,60,66.00404084160921,49.01801254056531,1212.0470046974408,2337.922332696604,[109.27765291],7212.766665661722,0.5184291144947671,-5.654579818831015,[3351.02839437],[3272.53697522],[3370.5381406],[3259.69345765],[3089.91947505],[2244.00154094],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09337859],[0.05623608],[0.27176244]
753,60,65.16960883580357,49.01801254056531,1227.5660607624939,2361.947097613239,[116.32871039],7581.096552196768,0.5197263147862018,-5.576026245057427,[3375.05315929],[3295.24756598],[3393.75480032],[3281.15049659],[3108.64850687],[2254.65761731],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09240263],[0.05585064],[0.26994537]
763,60,64.36538297857926,49.01801254056531,1242.9041248247358,2385.8637856213973,[123.4827798],7948.016413311372,0.5209451320377965,-5.502059854327358,[3398.96984729],[3317.86011919],[3416.9182355],[3302.5637439],[3127.3424178],[2265.17862169],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09145095],[0.05547021],[0.26815305]
773,60,63.58921255456154,49.01801254056531,1258.0750222588067,2409.688370075204,[130.74134524],8313.73919230934,0.5220903407603462,-5.4322352810433285,[3422.79443175],[3340.38978147],[3440.03892516],[3323.94293409],[3146.01308446],[2275.5746233],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.09052205],[0.05509458],[0.26638393]
783,60,62.839173327222646,49.01801254056531,1273.0912226266205,2433.434954359843,[138.10461208],8678.379655620536,0.5231663251757347,-5.366120634082582,[3446.54101603],[3362.84992052],[3463.12620352],[3345.29673338],[3164.66825411],[2285.85307875],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.08961462],[0.05472357],[0.264637]
793,60,62.113529094510774,49.01801254056531,1287.9641708696588,2457.1160449482995,[145.57148936],9041.958939512371,0.5241771846786174,-5.30329438280649,[3470.22210662],[3385.2523855],[3486.18841614],[3366.63288606],[3183.31180192],[2296.01909649],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.08872746],[0.05435702],[0.26291166]
803,60,61.410774800918745,49.01801254056531,1302.7029907918236,2480.7427769873566,[153.14499958],9404.753081091152,0.5251261851395337,-5.243571101124296,[3493.84883866],[3407.6077221],[3509.23305058],[3387.95833672],[3201.95761137],[2306.08300064],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.0878595],[0.05399478],[0.26120621]
813,60,60.72949089699081,49.01801254056531,1317.317152150934,2504.325101795431,[160.82311099],9766.70565463537,0.5260168303254665,-5.186586486776097,[3517.43116347],[3429.92535578],[3532.26684613],[3409.27933297],[3220.60617356],[2316.04763133],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.08700978],[0.0536367],[0.25952046]
823,60,60.068412151368335,49.01801254056531,1331.8147947444559,2527.8719435951934,[168.6054915],10127.864154380706,0.5268521604185061,-5.132093144218073,[3540.97800527],[3452.21373384],[3555.29588655],[3430.60151262],[3239.26199814],[2325.91786441],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.08617742],[0.05328265],[0.25785379]
833,60,59.42639502788082,49.01801254056531,1346.2031469764697,2551.3913312397044,[176.49223904],10488.297516317152,0.5276349145242092,-5.079892693640596,[3564.49739291],[3474.48044123],[3578.32567883],[3451.92997956],[3257.93030963],[2335.69879432],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.08536163],[0.05293253],[0.25620546]
843,60,58.80239461657608,49.01801254056531,1360.4888120907992,2574.890509492564,[184.48323971],10848.056261432122,0.5283676362452057,-5.029804199738406,[3587.99657117],[3496.73233135],[3601.36122028],[3473.26935555],[3276.61547143],[2345.39490467],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.08456166],[0.05258621],[0.25457489]
853,60,58.195453602654304,49.01801254056531,1374.6778321588886,2598.3760334975277,[192.57824307],11207.178209590826,0.5290526907718249,-4.981664149974252,[3611.48209517],[3518.97560194],[3624.4070561],[3494.62384765],[3295.32122352],[2355.01021652],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.08377685],[0.05224361],[0.25296154]
863,60,57.60469341510429,49.01801254056531,1388.7757274136195,2621.8538493534516,[200.77696649],11565.695599397048,0.52969227394429,-4.935327297134088,[3634.95991103],[3541.21587241],[3647.46732881],[3515.99728832],[3314.05096928],[2364.54845301],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.08300657],[0.05190462],[0.25136492]
873,60,57.02930550451748,49.01801254056531,1402.787554438357,2645.329363147085,[209.0791006],11923.635902794415,0.5302884298571782,-4.890664121444297,[3658.43542482],[3563.45824985],[3670.545821],[3537.3931754],[3332.80781363],[2374.01307048],[125.72676978],[127.60871942],[845.02296419],[847.18519934],[1008.54671322],[1013.10606167],[1213.89047217],[1122.31804148],[1122.31804148],[845.02296419],[845.02296419],[335.00636612],[525.08141346],[0.08225026],[0.05156916],[0.24978458]
