Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,y',y'',y'''
673,30,56.41690875154613,66.66724270221997,1418.0145947434166,2384.3465347781107,[122.50389493],6911.29106204022,0.5947183322810827,-6.707290117022501,[3231.37920294],[3159.23732404],[3243.91441416],[3142.53917168],[2987.70908029],[2265.02303582],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.07257692],[0.04831366],[0.22514593]
683,30,55.80472367788667,66.66724270221997,1433.570399197246,2407.1058347170347,[128.70062241],7182.102670585216,0.595557693609167,-6.614487646644201,[3254.13850288],[3180.74134582],[3266.09908933],[3163.02111097],[3005.56131949],[2275.99857152],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.07188154],[0.04797399],[0.22365802]
693,30,55.212552344114314,66.66724270221997,1448.9458755935966,2429.788182668944,[135.02009888],7454.804276804559,0.5963260032000138,-6.5267406008731434,[3276.82085083],[3202.17357975],[3288.24982449],[3183.48171774],[3023.39977033],[2286.83368055],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.07120161],[0.04763895],[0.22218934]
703,30,54.63895773327605,66.66724270221997,1464.1567723624173,2452.4079726428745,[141.45990623],7729.221837363951,0.5970282223412228,-6.443426480402527,[3299.44064081],[3223.55534088],[3310.37632828],[3203.9253726],[3041.22896878],[2297.53582728],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.07053598],[0.04730843],[0.2207393]
713,30,54.0827662524077,66.66724270221997,1479.2142773658234,2474.977774431553,[148.02062356],8005.364784559881,0.5976677013617085,-6.36399770714994,[3322.0104426],[3244.89096539],[3332.48715099],[3224.35718216],[3059.05340838],[2308.10895156],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06988407],[0.04698229],[0.21930722]
723,30,53.54283570256822,66.66724270221997,1494.1308010730322,2497.508621330756,[154.70013505],8283.083914145729,0.5982485058557714,-6.288165262687368,[3344.5412895],[3266.19348179],[3354.58985774],[3244.78642288],[3076.88139221],[2318.56391728],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06924509],[0.0466603],[0.21789217]
733,30,53.01821561967834,66.66724270221997,1508.915361729131,2520.010244581987,[161.49848071],8562.361272419805,0.5987735029940031,-6.215605421672537,[3367.04291275],[3287.47213741],[3376.69117118],[3265.21936343],[3094.71856989],[2328.90646446],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06861839],[0.04634232],[0.21649347]
743,30,52.50802326982875,66.66724270221997,1523.5766844410655,2542.491265618701,[168.41494392],8843.135794242444,0.5992455923227377,-6.146040072089684,[3389.52393378],[3308.73512179],[3398.7970895],[3285.66159444],[3112.56997269],[2339.14256509],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06800338],[0.04602819],[0.21511049]
753,30,52.01147887474501,66.66724270221997,1538.1220017346066,2564.9593546589226,[175.45030073],9125.429609799887,0.5996672028899029,-6.079307281654007,[3411.99202282],[3329.98971827],[3420.91298481],[3306.1181209],[3130.44402079],[2349.27989001],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06739953],[0.04571779],[0.21374231]
763,30,51.52780355993437,66.66724270221997,1552.5598700699188,2587.4213622821044,[182.60016825],9408.985599586797,0.60004137428183,-6.014997129722933,[3434.45403045],[3351.24242971],[3443.04368527],[3326.59343942],[3148.33533474],[2359.31812147],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595],[335.00636612],[525.08141346],[0.06680636],[0.045411],[0.21238928]
