Th,P1,P2,P3,P4,P5
673,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
683,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
693,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
703,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
713,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
723,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
733,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
743,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
753,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
763,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
773,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
783,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
793,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
803,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
813,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
823,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
833,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
843,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
853,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
863,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
873,50,[37.51061738],[25.02123475],[12.53185213],[0.04246951]
