Th,P1,P2,P3,P4,P5
673,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
683,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
693,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
703,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
713,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
723,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
733,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
743,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
753,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
763,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
773,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
783,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
793,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
803,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
813,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
823,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
833,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
843,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
853,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
863,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
873,30,[22.51061738],[15.02123475],[7.53185213],[0.04246951]
