Th,P1,m.,m.cw,W_net,Q_in,Q_out per unit mass,Q_out_steam,thermal eff,BWR,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,y',y'',y'''
673,40,61.87162053164326,58.393553338414264,1292.9999135724152,2302.4533920503955,[100.90250857],6243.001720798476,0.5615748479585789,-6.540939966169265,[3214.15265768],[3143.045723],[3231.36121357],[3131.0092304],[2977.63875421],[2224.85913509],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.08235725],[0.05245332],[0.24854086]
683,40,61.11026120407194,58.393553338414264,1309.1091156172213,2326.040938238785,[107.14308222],6547.54174094338,0.5628057073700702,-6.437506430116358,[3237.74020386],[3165.3270935],[3254.12135506],[3152.02055971],[2995.94810755],[2236.1306925],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.08150647],[0.05207862],[0.24685195]
693,40,60.377861697024926,58.393553338414264,1324.9889570690434,2349.4851272095702,[113.49690774],6852.700598840194,0.563948646332868,-6.340829154071806,[3261.18439284],[3187.4763809],[3276.80447969],[3172.96536504],[3014.20382067],[2247.23374086],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.08067797],[0.05170962],[0.24518844]
703,40,59.67207326533657,58.393553338414264,1340.6606411054918,2372.8081434787964,[119.96339368],7158.464416832126,0.5650101314722971,-6.249986074027869,[3284.5074091],[3209.51088404],[3299.42498876],[3193.85422761],[3032.41556788],[2258.17868989],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.07987031],[0.05134608],[0.24354904]
713,40,58.991000555656804,58.393553338414264,1356.1390592878931,2396.0291594906503,[126.54535624],7465.037180173017,0.5659943886393195,-6.164566505045916,[3307.72842512],[3231.46025321],[3321.99545829],[3214.70746722],[3050.60143769],[2268.98056208],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.0790817],[0.05098758],[0.24193179]
723,40,58.33274037095323,58.393553338414264,1371.4425122368496,2419.1648413454277,[133.23996542],7772.252309861044,0.5669074255701056,-6.083715454982763,[3330.86410697],[3253.32890975],[3344.52692693],[3235.52678755],[3068.76320661],[2279.6443917],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.07831131],[0.05063403],[0.24033617]
733,40,57.6957697142562,58.393553338414264,1386.5834600388837,2442.2297552874425,[140.04820004],8080.188698453119,0.5677530777097944,-6.007037426133223,[3353.92902091],[3275.13449799],[3367.02913053],[3256.32412231],[3086.91157403],[2290.17986991],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.07755796],[0.05028516],[0.23876092]
743,40,57.07868094389742,58.393553338414264,1401.5740847030422,2465.236696868029,[146.96961083],8388.831524756073,0.5685352998694521,-5.934112695801858,[3376.93596249],[3296.88916852],[3389.51069455],[3277.10750354],[3105.05353038],[2300.59459063],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.07682066],[0.04994079],[0.23720515]
753,40,56.48024166772633,58.393553338414264,1416.424534275908,2488.196959350489,[154.00555954],8698.271220971654,0.5692574010080161,-5.864674001830495,[3399.89622498],[3318.60364084],[3411.97929269],[3297.88407326],[3123.19992284],[2310.89793018],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.07609858],[0.04960073],[0.2356676]
763,40,55.899287248262716,58.393553338414264,1431.1452603089551,2511.1205540024894,[161.15294581],9008.3348086696,0.5699229604997834,-5.798265526879333,[3422.81981963],[3340.28741379],[3434.44177861],[3318.66020716],[3141.34924378],[2321.09201444],[125.72676978],[126.98095853],[763.13581827],[764.54359092],[908.76036926],[911.69926563],[1087.498372],[1008.45397038],[1008.45397038],[763.13581827],[763.13581827],[335.00636612],[525.08141346],[0.07539094],[0.04926484],[0.23414824]
