Th,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
673,[3231.37920294],[3159.23732404],[3243.91441416],[3142.53917168],[2987.70908029],[2265.02303582],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
683,[3254.13850288],[3180.74134582],[3266.09908933],[3163.02111097],[3005.56131949],[2275.99857152],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
693,[3276.82085083],[3202.17357975],[3288.24982449],[3183.48171774],[3023.39977033],[2286.83368055],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
703,[3299.44064081],[3223.55534088],[3310.37632828],[3203.9253726],[3041.22896878],[2297.53582728],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
713,[3322.0104426],[3244.89096539],[3332.48715099],[3224.35718216],[3059.05340838],[2308.10895156],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
723,[3344.5412895],[3266.19348179],[3354.58985774],[3244.78642288],[3076.88139221],[2318.56391728],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
733,[3367.04291275],[3287.47213741],[3376.69117118],[3265.21936343],[3094.71856989],[2328.90646446],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
743,[3389.52393378],[3308.73512179],[3398.7970895],[3285.66159444],[3112.56997269],[2339.14256509],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
753,[3411.99202282],[3329.98971827],[3420.91298481],[3306.1181209],[3130.44402079],[2349.27989001],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
763,[3434.45403045],[3351.24242971],[3443.04368527],[3326.59343942],[3148.33533474],[2359.31812147],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
773,[3456.91609735],[3372.49908329],[3465.19354423],[3347.09160314],[3166.25529091],[2369.26624213],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
783,[3479.38374638],[3393.76491837],[3487.36649866],[3367.6162765],[3184.20847536],[2379.12918151],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
793,[3501.86196007],[3415.04466046],[3509.56611862],[3388.17078166],[3202.19153428],[2388.90739961],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
803,[3524.35524631],[3436.34258546],[3531.79564954],[3408.758138],[3220.21013424],[2398.60629511],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
813,[3546.8676942],[3457.66256816],[3554.05804828],[3429.38109619],[3238.26674504],[2408.22905857],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
823,[3569.40302171],[3479.00813161],[3576.35601424],[3450.04216751],[3256.36341392],[2417.77888392],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
833,[3591.96461667],[3500.38248608],[3598.69201613],[3470.74364632],[3274.50264585],[2427.25898083],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
843,[3614.555572],[3521.7885616],[3621.06831513],[3491.48763511],[3292.68632541],[2436.67213198],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
853,[3637.17871618],[3543.22903705],[3643.48698512],[3512.2757903],[3310.9154489],[2446.02057549],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
863,[3659.83663978],[3564.7063653],[3665.94994643],[3533.11075087],[3329.1926384],[2455.30730063],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
873,[3682.53171849],[3586.22279523],[3688.45891392],[3553.99321102],[3347.51853942],[2464.53420659],[125.72676978],[126.66707808],[710.00312595],[711.04381878],[844.8720614],[847.03266817],[1008.36120533],[936.37448323],[936.37448323],[710.00312595],[710.00312595]
