y',y'',y''
[0.101066],[0.05909671],[0.28529407]
[0.09985665],[0.05866828],[0.28325922]
[0.0986901],[0.05824711],[0.28126245]
[0.09756236],[0.05783274],[0.27930092]
[0.09647004],[0.05742478],[0.27737218]
[0.09541025],[0.05702297],[0.27547441]
[0.0943805],[0.05662674],[0.27360468]
[0.09337859],[0.05623608],[0.27176244]
[0.09240263],[0.05585064],[0.26994537]
[0.09145095],[0.05547021],[0.26815305]
[0.09052205],[0.05509458],[0.26638393]
[0.08961462],[0.05472357],[0.264637]
[0.08872746],[0.05435702],[0.26291166]
[0.0878595],[0.05399478],[0.26120621]
[0.08700978],[0.0536367],[0.25952046]
[0.08617742],[0.05328265],[0.25785379]
[0.08536163],[0.05293253],[0.25620546]
[0.08456166],[0.05258621],[0.25457489]
[0.08377685],[0.05224361],[0.25296154]
[0.08300657],[0.05190462],[0.25136492]
[0.08225026],[0.05156916],[0.24978458]
