Th,P1,P2,P3,P4,P5
673,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
683,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
693,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
703,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
713,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
723,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
733,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
743,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
753,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
763,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
773,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
783,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
793,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
803,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
813,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
823,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
833,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
843,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
853,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
863,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
873,90,[67.51061738],[45.02123475],[22.53185213],[0.04246951]
