y',y'',y''
[0.11048363],[0.06184817],[0.30049682]
[0.10905982],[0.06140114],[0.29830792]
[0.1076938],[0.0609617],[0.29616381]
[0.10637955],[0.06052938],[0.29406089]
[0.10511206],[0.06010378],[0.29199611]
[0.10388706],[0.05968454],[0.28996665]
[0.10270095],[0.05927141],[0.28797061]
[0.10155059],[0.05886383],[0.2860048]
[0.10043328],[0.05846182],[0.28406801]
[0.09934668],[0.05806504],[0.28215921]
[0.09828869],[0.05767328],[0.28027655]
[0.09725749],[0.05728633],[0.27841878]
[0.09625146],[0.05690404],[0.27658478]
[0.09526913],[0.05652622],[0.27477385]
[0.09430919],[0.05615275],[0.27298426]
[0.09337047],[0.05578347],[0.27121559]
[0.09245191],[0.05541826],[0.26946735]
[0.09155252],[0.05505701],[0.26773865]
[0.09067142],[0.05469961],[0.26602886]
[0.0898078],[0.05434597],[0.26433738]
[0.0889609],[0.05399598],[0.26266369]
